"TID","NL"
"TID_CLUSTER_BOMB_DUDE_WEAPON","MINIMIJNEN"
"TID_CLUSTER_BOMB_DUDE_ULTI","KOPPENSNELLER"
"TID_CLUSTER_BOMB_DUDE_WEAPON_DESC","Tick gooit een cluster mijnen die uiteenvalt voor hij landt. De mijnen ontploffen na een paar seconden of zodra ze een doelwit raken."
"TID_CLUSTER_BOMB_DUDE_ULTI_DESC","Tick koppelt zijn hoofd los en gooit ermee. Na de landing hobbelt het hoofd naar het dichtstbijzijnde doelwit en ontploft het zodra het contact maakt."
"TID_CLUSTER_BOMB_DUDE","TICK"
"TID_SPEC_ABI_PREY_ON_THE_WEAK","Aaseter"
"TID_SPEC_DAMAGE_SUPER","Onmisbaar"
"TID_SPEC_DAMAGE_SUPER_DESC","Poco's super raakt nu ook vijanden en richt <c00cc00><VALUE1></c> schade aan."
"TID_SPEC_ABI_SUPER_DESTROY_WALLS","Dolgedraaid"
"TID_SPEC_ABI_SUPER_DESTROY_WALLS_DESC","Carls super vernietigt nu dekking en obstakels."
"TID_SPEC_ABI_SUPER_SLOW","Kleverig"
"TID_SPEC_ABI_SUPER_SLOW_DESC","Bibi's super vertraagt vijanden <c00cc00><VALUE1></c> seconden lang."
"TID_SPEC_ABI_DAMAGE_BUFF_SUPER","Prikkelhandschoen"
"TID_SPEC_ABI_DAMAGE_BUFF_SUPER_DESC","Rosa's vuistslagen richten <c00cc00>+<VALUE1></c> meer schade aan tijdens haar super."
"TID_SPEC_ABI_STUN_TRAP","Berenval"
"TID_SPEC_ABI_STUN_TRAP_DESC","Bo's vallen zorgen nu niet voor een terugslag, maar verdoven de vijand <c00cc00><VALUE1></c> seconden lang."
"TID_SPEC_ABI_TURRET_ELECTRICITY","Schokkend"
"TID_SPEC_ABI_TURRET_ELECTRICITY_DESC","Schrootje het geschut schiet nu energiebollen die van vijand naar vijand stuiteren. Na een stuit heeft een energiebol <c00cc00><VALUE1>%</c> van zijn normale bereik."
"TID_SPEC_EXTRA_BULLET","Raket nr. vier"
"TID_SPEC_EXTRA_BULLET_DESC","Brock laadt een vierde raket in zijn raketwerper, waardoor zijn munitiecapaciteit stijgt (de thermosfles die hij in de racketwerper bewaarde verdwijnt)."
"TID_SPEC_ABI_SPIKES_LOW_HEALTH","Netelig stekelig"
"TID_SPEC_ABI_SPIKES_LOW_HEALTH_DESC","Als de gezondheid van Spike onder de <c00cc00><VALUE1>%</c> komt, begint hij stekels af te vuren die <c00cc00><VALUE2></c> schade aanrichten per stuk."
"TID_SPEC_ABI_RELOAD_ON_HIT","Snelle sniper"
"TID_SPEC_ABI_RELOAD_ON_HIT_DESC","Als Piper een vijand treft met haar aanval, herlaadt ze meteen <c00cc00><VALUE1></c> stuks munitie."
"TID_SPEC_ABI_GAIN_HEALTH","Spons"
"TID_SPEC_ABI_GAIN_HEALTH_DESC","Frank krijgt <c00cc00>+<VALUE1></c> gezondheid erbij."
"TID_SPEC_ABI_DASH_SHIELD","Vliegensvlug"
"TID_SPEC_ABI_DASH_SHIELD_DESC","Als Mortis naar voren rent, loopt hij <c00cc00><VALUE1></c> seconden lang <c00cc00><VALUE2>%</c> minder schade op."
"TID_SPEC_ABI_SUPER_DAMAGE","Sloper"
"TID_SPEC_ABI_SUPER_DAMAGE_DESC","Mikes super richt <c00cc00><VALUE1></c> extra schade aan."
"TID_SPEC_ABI_SPEED_LOW_HEALTH","Robohaast"
"TID_SPEC_ABI_SPEED_LOW_HEALTH_DESC","Als Rico's gezondheid onder de <c00cc00><VALUE2>%</c> komt, rent hij <c00cc00><VALUE1>%</c> sneller."
"TID_SPEC_ABI_SUPER_RELOAD","Rollend herladen"
"TID_SPEC_ABI_SUPER_RELOAD_DESC","Als Darryl zijn super gebruikt, herlaadt hij dubbel zo snel gedurende <c00cc00><VALUE1></c> seconden."
"TID_SPEC_ABI_DAMAGE_MAIN_ATTACK","Extra schadelijk"
"TID_SPEC_ABI_DAMAGE_MAIN_ATTACK_DESC","Barley's aanval richt <c00cc00>+<VALUE1></c> schade per seconde aan."
"TID_SPEC_ABI_SUPER_HEALS","Schouderklopje"
"TID_SPEC_ABI_SUPER_HEALS_DESC","Door Gene's super geraakte teamgenoten genezen nu met <c00cc00><VALUE1></c> gezondheid."
"TID_SPEC_ABI_BLACK_HOLE_HEALER","Helende dubbelganger"
"TID_SPEC_ABI_BLACK_HOLE_HEALER_DESC","Tara's super creëert een dimensieportaal. Een schaduwversie van Tara verschijnt om Tara en haar teamgenoten te genezen."
"TID_SPEC_ABI_RECHARGE","Tickie sneller"
"TID_SPEC_ABI_RECHARGE_DESC","Tick herlaadt nu <c00cc00><VALUE1>%</c> sneller."
"TID_SPEC_ABI_CURVEBALL","Effectbal"
"TID_SPEC_ABI_CURVEBALL_DESC","De stekels van de cactusgranaat vliegen met effect, waardoor ze makkelijker doel treffen."
"TID_SPEC_ABI_MEDIKIT","Snelverband"
"TID_SPEC_ABI_MEDIKIT_DESC","Als Shelly's gezondheid onder de <c00cc00><VALUE1>%</c> zakt, herstelt haar gezondheid meteen met <c00cc00><VALUE2></c> punten. Snelverband wordt in <c00cc00><VALUE3></c> seconden opgeladen."
"TID_SPEC_ABI_IMMUNE_TO_CC","Zandsteen"
"TID_SPEC_ABI_IMMUNE_TO_CC_DESC","Sandy kan niet meer worden teruggeslagen, vertraagd of verdoofd."
"TID_SPEC_ABI_CURE_DEBUFFS","Schone lei"
"TID_SPEC_ABI_CURE_DEBUFFS_DESC","Poco's aanvallen verwijderen alle vertragings-, verdovings- en brandeffecten van teamgenoten die erdoor worden geraakt."
"TID_SPEC_ABI_SHIELD_HOMERUN","Aan slag"
"TID_SPEC_ABI_SHIELD_HOMERUN_DESC","Als Bibi's homerunbalk volledig is opgeladen, beschermt ze zichzelf tegen alle schade met <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_WHIRLWIND_SHIELD","Protectiepirouette"
"TID_SPEC_ABI_WHIRLWIND_SHIELD_DESC","Tijdens Carls super loopt hij <c00cc00><VALUE2>%</c> minder schade op."
"TID_SELFHELP_UNAVAILABLE","Er is momenteel geen hulp en ondersteuning beschikbaar. Probeer het later nog eens."
"TID_SPEC_ABI_LONGER_DASH","Slangenkuil"
"TID_SPEC_ABI_LONGER_DASH_DESC","Mortis krijgt een sprintbalk. Met een volle balk groeit zijn sprintbereik met <c00cc00><VALUE1>%</c>. Als hij drie sprinten klaar heeft staan, duurt het <c00cc00><VALUE3></c> seconden voor de balk vol is."
"TID_BO_MECHA_SKIN","MECHA-BO"
"TID_BO_MECHA_SKIN_SHOP","MECHA-\nBO"
"TID_CROW_MECHA_SKIN","MECHA-CROW"
"TID_CROW_MECHA_SKIN_SHOP","MECHA-\nCROW"
"TID_MIKE_ROBO_SKIN","ROBO-MIKE"
"TID_MIKE_ROBO_SKIN_SHOP","ROBO-\nMIKE"
"TID_SPIKE_ROBO_SKIN","ROBO-SPIKE"
"TID_SPIKE_ROBO_SKIN_SHOP","ROBO-\nSPIKE"
"TID_BO_MECHA_GOLD_SKIN","GOUDEN MECHA-BO"
"TID_BO_MECHA_GOLD_SKIN_SHOP","GOUDEN MECHA-\nBO"
"TID_CROW_MECHA_GOLD_SKIN","GOUDEN MECHA-CROW"
"TID_CROW_MECHA_GOLD_SKIN_SHOP","GOUDEN MECHA-\nCROW"
"TID_BO_MECHA_LIGHT_SKIN","LICHT-MECHA-BO"
"TID_BO_MECHA_LIGHT_SKIN_SHOP","LICHT-MECHA-\nBO"
"TID_CROW_MECHA_NIGHT_SKIN","NACHT-MECHA-CROW"
"TID_CROW_MECHA_NIGHT_SKIN_SHOP","NACHT-MECHA-\nCROW"
"TID_BULL_LINEBACKER_SKIN","LINEBACKER-BULL"
"TID_BULL_LINEBACKER_SKIN_SHOP","LINEBACKER-\nBULL"
"TID_COLT_OUTLAW_SKIN","BALLING-COLT"
"TID_COLT_OUTLAW_SKIN_SHOP","BALLING-\nCOLT"
"TID_CARL_HOG_RIDER_SKIN","VARKENSRUITER CARL"
"TID_CARL_HOG_RIDER_SKIN_SHOP","VARKENSRUITER\nCARL"
"TID_SKIN_INFO_ANIM_SOUND_FX_VOICE","- Aangepast knokkermodel\n- Aangepaste effecten\n- Aangepaste animaties\n- Aangepaste geluiden\n- Aangepaste stem"
"TID_SHOP_OFFER_STAR_SKIN_LABEL","STERSKIN"
"TID_WANTED_15","Strandpremie"
"TID_WANTED_16","Zonnesteek"
"TID_WANTED_17","Heet zand"
"TID_BANKHEIST_16","Strandjutters"
"TID_BANKHEIST_17","Zandedelstenen"
"TID_BANKHEIST_18","Hete aardappel"
"TID_BANKHEIST_18B","8-figuur"
"TID_BALL_22","Strandbal"
"TID_BALL_23","Zonnig voetbal"
"TID_BALL_24","Blootvoets knokken"
"TID_BALL_25","Zomerspel"
"TID_STARPOINTSGAINED","<TOTALDECAY> trofeeën zijn omgezet in <STARPOINTSGAINED> sterpunten"
"TID_TROPHIES_LOST","Totaal aantal trofeeën verloren: <AMOUNT>"
"TID_TROPHIES_CONVERTED","Verloren trofeeën omgezet in: <AMOUNT> sterpunten"
"TID_IAP_SOM_PACK_1","ZOMERAANBIEDING"
"TID_IAP_SOM_PACK_2","ZOMERAANBIEDING"
"TID_IAP_SOM_PACK_3","ZOMERAANBIEDING"
"TID_IAP_SOM_PACK_4","ZOMERAANBIEDING"
"TID_IAP_AUGUST_PACK_1","ZOMERAANBIEDING"
"TID_IAP_AUGUST_PACK_2","VAARWEL, ZOMER!"
"TID_IAP_FLASH_PACK_1","EEN BEETJE EXTRA"
"TID_IAP_FLASH_PACK_2","VEEL VOORDEEL"
"TID_IAP_MOON_19_PACK_1","MAANFESTIVAL"
"TID_IAP_MOON_19_PACK_2","MAANFESTIVAL"
"TID_SPEC_ABI_RESURRECT","Extra leven"
"TID_SPEC_ABI_RESURRECT_DESC","Als 8-Bit voor de eerste keer wordt verslagen in een gevecht, komt hij meteen weer terug tot leven."
"TID_SPEC_ABI_GROW_FROM_DAMAGE","Spiergroei"
"TID_SPEC_ABI_GROW_FROM_DAMAGE_DESC","Als El Primo zijn super oplaadt, wordt ook zijn groeibalk gevuld. Als zijn groeibalk vol is, gaat zijn maximale gezondheid met <c00cc00><VALUE1></c> omhoog. De bonus gaat verloren als El Primo wordt verslagen."
"TID_SPEC_ABI_ARMOR","Kogelvrij vest"
"TID_SPEC_ABI_ARMOR_DESC","Dit vest beschermt tegen de eerste <c00cc00><VALUE1></c> schade. Als Colt wordt verslagen, krijgt hij een nieuw vest. Vestgezondheid wordt weergegeven in de gele balk."
"TID_SPEC_ABI_WALKING_TURRET","Hond uitlaten"
"TID_SPEC_ABI_WALKING_TURRET_DESC","Schrootje zal nu Jessie volgen."
"TID_SPEC_SHIELD_ULTI","Schild"
"TID_SPEC_SHIELD_ULTI_DESC","Als Brock zijn super volledig heeft opgeladen (zonder deze te gebruiken), krijgt hij een schild dat alle schade die hij incasseert met <c00cc00><VALUE1>%</c> reduceert."
"TID_SPEC_ABI_PET","Vogelvrij"
"TID_SPEC_ABI_PET_DESC","De vogel van Dynamike stort zich in de strijd!"
"TID_SPEC_ABI_DAMAGE_ULTI","Geestelijke stoot"
"TID_SPEC_ABI_DAMAGE_ULTI_DESC","Als Gene's super volledig is opgeladen, richt hij <c00cc00>+<VALUE1></c> schade aan met zijn aanval."
"TID_ARCADE","8-BIT"
"TID_ARCADE_DESC","8-Bit sloft als een arcadekast met benen. Hij schiet laserstralen en zijn super geeft de schade die vrienden aanrichten een boost."
"TID_ARCADE_SHORT_DESC","SCHERPSCHUTTER"
"TID_ARCADE_WEAPON","LASERSTRALEN"
"TID_ARCADE_ULTI","SCHADEBOOSTER"
"TID_ARCADE_WEAPON_DESC","Vuurt een vlaag van laserstralen die schade aanrichten aan elke tegenstander die wordt geraakt. De stralen hebben een middelgroot bereik en een kleine spreiding."
"TID_ARCADE_ULTI_DESC","Zet een geschut in dat ervoor zorgt dat nabije vriendschappelijke knokkers meer schade aanbrengen."
"TID_STAT_DAMAGE_BOOST","Schadeboost"
"TID_HERO_INFO_ABILITY_POWER_PERCENT","<BASEPOW>%"
"TID_STAT_DAMAGE_PER_BEAM","Schade per straal"
"TID_SPEC_ABI_LARGER_AREA_ULTI","Gebooste booster"
"TID_SPEC_ABI_LARGER_AREA_ULTI_DESC","Vergroot het bereik van de schadebooster met <c00cc00><VALUE1>%</c>."
"TID_DAMAGE_BOOSTER_HEALTH","Schadeboostgezondheid"
"TID_BEST_VALUE_DISCOUNT","<VALUE>%\nKORTING!"
"TID_BEST_VALUE_EXTRA","<VALUE>%\nEXTRA"
"TID_BEST_VALUE_BONUS","<VALUE>%\nBONUS"
"TID_PROMOCODE_PACK","Promocodepakket"
"TID_DIAMONDS","Edelstenen"
"TID_BATTLE_ROYALE_22A","Verlaten knooppunt"
"TID_BATTLE_ROYALE_23A","Gewelddadig binnenland"
"TID_BATTLE_ROYALE_24A","Dorre woestenij"
"TID_GOLDRUSH_24A","Royal Flush"
"TID_WANTED_17A","Overgroeide oase"
"TID_BALL_14A","Velddoelpunt"
"TID_BALL_15A","Haastige spoed"
"TID_SHOP_LABEL_BEST_VALUE","BESTE DEAL"
"TID_SHOP_LABEL_MOST_POPULAR","POPULAIRST"
"TID_SHOP_LABEL_POPULAR","POPULAIR"
"TID_SHOP_LABEL_PERCENT_BONUS","<VALUE>% BONUS"
"TID_SHOP_LABEL_PERCENT_EXTRA","<VALUE>% <cFFDB4F>EXTRA</c>"
"TID_BATTLE_ROYALE_25A","Overlevingseiland"
"TID_BATTLE_ROYALE_26A","Hete planeet"
"TID_BATTLE_ROYALE_27A","Dropkick"
"TID_BATTLE_ROYALE_28A","Bordnijd"
"TID_PIPER_PINK_SKIN","ROZE PIPER"
"TID_PIPER_PINK_SKIN_SHOP","ROZE\nPIPER"
"TID_TARA_BLUE_SKIN","IRIS-TARA"
"TID_TARA_BLUE_SKIN_SHOP","IRIS-\nTARA"
"TID_8BIT_CLASSIC_SKIN","KLASSIEKE 8-BIT"
"TID_8BIT_CLASSIC_SKIN_SHOP","KLASSIEKE\n8-BIT"
"TID_LEON_SHARK_SKIN","GEHAAIDE LEON"
"TID_LEON_SHARK_SKIN_SHOP","GEHAAIDE\nLEON"
"TID_BATTLE_ROYALE_29A","Hachelijk paradijs"
"TID_BATTLE_ROYALE_30A","Cruciale oversteek"
"TID_BATTLE_ROYALE_31A","Gelijkmatig verdeeld"
"TID_BALL_16A","Slalomslag"
"TID_BALL_17A","Ruwe route"
"TID_BALL_18A","Krachtschot"
"TID_BALL_19A","Hondensport"
"TID_BALL_20A","Omhaaltrap"
"TID_IAP_INFO_MORE_INFO_BTN","자세히보기"
"TID_SANDSTORM","SANDY"
"TID_GAME_MODE_14","UITSCHAKELING"
"TID_GAME_MODE_14_DESC","Breng meer schade toe aan de baas dan de andere spelers. Hoe meer schade je toebrengt, hoe hoger je positie in het gevecht.\n\nVerzamel krachtkubussen om je gezondheid en aanvalsschade te verhogen. Krachtkubussen verschijnen op willekeurige plekken op de kaart tijdens het gevecht."
"TID_BOSS_RACE_INTRO_TEXT","Breng zo veel mogelijk schade toe aan de baas!"
"TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL","Iedereen tegen iedereen"
"TID_BOSS_RACE_1","Laatste gevecht"
"TID_BOSS_RACE_IN_LEAD","Je staat aan kop!"
"TID_BOSS_RACE_DOING_GOOD","Blijf zo doorgaan!"
"TID_BOSS_RACE_DOING_OK","Je doet het niet slecht."
"TID_BOSS_RACE_DOING_BAD","Richt meer schade toe aan de baas!"
"TID_SHOP_SCID_SKIN_OFFER_TITLE","VERBIND JE SPEL MET SUPERCELL ID EN ONTVANG <NAME> <c<COLOR>>GRATIS</c>!"
"TID_SHOP_SCID_SKIN_OFFER_DESC","SUPERCELL ID"
"TID_SHOP_SCID_SKIN_OFFER_CLAIM","VERBINDING MAKEN"
"TID_GAME_MODE_15","EENZAME STER"
"TID_GAME_MODE_15_DESC","Verzamel sterren door vijandelijke spelers te verslaan. Elke keer dat je een vijand verslaat, wordt de premie op je hoofd verhoogd met één ster, met een maximum van zeven sterren.\n\nDe speler met de meeste sterren als de tijd om is, wint."
"TID_SOLO_BOUNTY_IN_LEAD","Je staat aan kop!"
"TID_SOLO_BOUNTY_DOING_GOOD","Blijf zo doorgaan!"
"TID_SOLO_BOUNTY_DOING_OK","Je doet het niet slecht."
"TID_SOLO_BOUNTY_DOING_BAD","Je hebt meer sterren nodig!"
"TID_SANDSTORM_SHORT_DESC","HELPER"
"TID_SANDSTORM_DESC","Sandy is een knokker met slaaptekort die over een meesterlijke beheersing van zand beschikt. Hij gooit scherpe steentjes naar vijanden en kan een zandstorm oproepen om teamgenoten te verbergen."
"TID_SANDSTORM_WEAPON","GRINDVLAAG"
"TID_SANDSTORM_WEAPON_DESC","Sandy bekogelt vijanden met scherpe, snijdende kiezelstenen. Au!"
"TID_SANDSTORM_ULTI","Zandstorm"
"TID_SANDSTORM_ULTI_DESC","Sandy roept een zandstorm op die <time> seconden duurt en waarin vriendschappelijke knokkers verborgen zijn."
"TID_STAT_SANDSTORM","Zandstorm"
"TID_SPEC_ABI_SANDSTORM_DOT","Grof zand"
"TID_SPEC_ABI_SANDSTORM_DOT_DESC","De zandstorm beschadigt nu ook vijanden met <c00cc00><VALUE1></c> schade per seconde."
"TID_SPEC_ABI_SANDSTORM_HOT","Genezende wind"
"TID_SPEC_ABI_SANDSTORM_HOT_DESC","De zandstorm geneest nu ook vriendschappelijke knokkers met <c00cc00><VALUE1></c> gezondheid per seconde."
"TID_SHOP_SKIN_SALE","SKINAANBIEDING"
"TID_IAP_B2S_19_PACK_1","BEGIN VAN HET SCHOOLJAAR!"
"TID_IAP_B2S_19_PACK_2","BEGIN VAN HET SCHOOLJAAR!"
"TID_IAP_B2S_19_PACK_3","BEGIN VAN HET SCHOOLJAAR!"
"TID_GENE_PIRATE_SKIN","PIRAAT-GENE"
"TID_GENE_PIRATE_SKIN_SHOP","PIRAAT-\nGENE"
"TID_BARLEY_RED_WIZARD_SKIN","RODE TOVENAAR-BARLEY"
"TID_BARLEY_RED_WIZARD_SKIN_SHOP","RODE TOVENAAR-\nBARLEY"
"TID_SANDY_SLEEPY_SKIN","SLAPERIGE SANDY"
"TID_SANDY_SLEEPY_SKIN_SHOP","SLAPERIGE\nSANDY"
"TID_BOSS_RACE_2","Azende baas"
"TID_BOSS_RACE_3","Vriend of vijand"
"TID_BOSS_RACE_4","Spiermassa"
"TID_BOSS_RACE_5","Trainingsmontage"
"TID_BOSS_RACE_6","Warrig doolhof"
"TID_BOSS_RACE_7","Coole confrontatie"
"TID_SHOP_SKIN_NEW_RELEASE","NIEUWE RELEASE!"
"TID_SEASON_END_OFFER","SEIZOENSEINDE-AANBIEDING"
"TID_IAP_OCTOBER_OFFER","OKTOBERAANBIEDING"
"TID_IAP_MONDAY_OFFER","BEGIN VAN DE WEEK"
"TID_IAP_VERY_SPECIAL_OFFER","SPECIALE AANBIEDING"
"TID_IAP_IKE_ROYALE","IKE ROYALE"
"TID_IAP_COIN_SHOWER","MUNTENREGEN"
"TID_MUMMY","EMZ"
"TID_ADDITIONAL_GEM_TOOLTIP_FOR_JAPAN","\n\nBetaalde edelstenen: <PAID>\nGratis edelstenen: <FREE>\nTotaal: <TOTAL>"
"TID_RANK","Positie: <val>/10"
"TID_SOLO_BOUNTY_NO_RANK","Versla knokkers voor sterren!"
"TID_BOSS_RACE_NO_RANK","Breng schade toe aan de baas!"
"TID_MUMMY_SHORT_DESC","VECHTER"
"TID_MUMMY_DESC","Emz valt aan met een wolk haarlak die geleidelijk aan schade aanricht en vertraagt tegenstanders met haar super."
"TID_MUMMY_WEAPON","Spray"
"TID_MUMMY_WEAPON_DESC","Emz verstuift haarlak naar je! Deze is zo sterk dat hij je gezicht eraf kan smelten."
"TID_MUMMY_ULTI","Bijtend charisma"
"TID_MUMMY_ULTI_DESC","Emz hult zich in een giftige wolk die vijandelijke knokkers vertraagt en beschadigt."
"TID_STAT_MUMMY","Emz"
"TID_SPEC_ABI_TICK_DMG_GROW","Slecht karma"
"TID_SPEC_ABI_TICK_DMG_GROW_DESC","Vijanden die in de wolk van Emz' giftige haarlak blijven, lijden steeds meer schade, <c00cc00><VALUE1></c>% per treffer."
"TID_SPEC_ABI_HEAL_SUPER_DMG","Hype"
"TID_SPEC_ABI_HEAL_SUPER_DMG_DESC","Emz herstelt per seconde <c00cc00><VALUE1></c> gezondheid voor elke vijand die binnen het effectgebied van haar super blijft."
"TID_FRIEND_ADD_YOUR_ID","Jouw ID: <ID>"
"TID_FRIEND_ADD_BUTTON","VRIEND\nTOEVOEGEN"
"TID_FRIEND_ADD_BUTTON_SHORT","TOEVOEGEN"
"TID_FRIEND_ADD_DEFAULT_TEXT","Speler-ID invoeren"
"TID_FRIEND_ADD_CODE_SENT","Vriendenverzoek verzonden"
"TID_FRIEND_ADD_CODE_INVALID","Ongeldige speler-ID!"
"TID_IAP_CYBER_WEEK_19_1","CYBERWEEK-AANBIEDING"
"TID_IAP_CYBER_WEEK_19_2","CYBERWEEK-AANBIEDING"
"TID_IAP_CYBER_WEEK_19_3","CYBERWEEK-AANBIEDING"
"TID_IAP_GSTAR2019_FINALS","WERELDFINALEPAKKET"
"TID_IAP_BRAWLOWEEN_19_1","HET IS BRAWL-O-WEEN!"
"TID_IAP_BRAWLOWEEN_19_2","SNOEP... OF MUNTEN?"
"TID_IAP_BRAWLOWEEN_19_3","ALLE SKINS!"
"TID_IAP_ARABIC_19_1","SPEEL IN HET ARABISCH"
"TID_IAP_ARABIC_19_2","SPEEL IN HET ARABISCH"
"TID_EVENT_MODIFIER_8","BAASLASERS"
"TID_EVENT_MODIFIER_DESC_8","Baas vuurt lasers af."
"TID_EVENT_MODIFIER_9","BAASBLIKSEMKETEN"
"TID_EVENT_MODIFIER_DESC_9","Baas lanceert een keten van bliksems."
"TID_EVENT_MODIFIER_10","BAASRAKETTEN"
"TID_EVENT_MODIFIER_DESC_10","Baas vuurt raketten af."
"TID_STAT_DAMAGE_PER_HALF_SECOND","Schade per halve seconde"
"TID_FRIENDS_PAGE_BUTTON_INVITE","UITNODIGEN"
"TID_TEAM_ROOM_CODE","Teamcode:"
"TID_TEAM_ROOM_CODE_SHORT","TEAM:\n<NUM>"
"TID_FRIENDS_PAGE_SOCIAL_NETWORKS","SOCIALE NETWERKEN"
"TID_CLAN_TAB_MEMBERS","Leden <NUM>/<TOTAL>"
"TID_CLAN_TAB_CHAT","Chat"
"TID_SHELLY_WITCH_SKIN","HEKS-SHELLY"
"TID_SHELLY_WITCH_SKIN_SHOP","HEKS-\nSHELLY"
"TID_LEON_WEREWOLF_SKIN","WEERWOLF-LEON"
"TID_LEON_WEREWOLF_SKIN_SHOP","WEERWOLF-\nLEON"
"TID_PIPER_CALAVERA_SKIN","CALAVERA-PIPER"
"TID_PIPER_CALAVERA_SKIN_SHOP","CALAVERA-\nPIPER"
"TID_FRANK_DJ_SKIN","DJ FRANK"
"TID_FRANK_DJ_SKIN_SHOP","DJ\nFRANK"
"TID_JESSIE_DARK_KNIGHT_SKIN","SCHADUWRIDDER-JESSIE"
"TID_JESSIE_DARK_KNIGHT_SKIN_SHOP","SCHADUWRIDDER-\nJESSIE"
"TID_SKIN_FEATURE_MODEL","- Aangepast knokkermodel"
"TID_SKIN_FEATURE_PET","- Aangepast huisdiermodel"
"TID_SKIN_FEATURE_TURRET","- Aangepast geschutsmodel"
"TID_SKIN_FEATURE_VFX","- Aangepaste effecten"
"TID_SKIN_FEATURE_ANIM","- Aangepaste animaties"
"TID_SKIN_FEATURE_SFX","- Aangepaste geluiden"
"TID_SKIN_FEATURE_VOICE","- Aangepaste stem"
"TID_SKIN_FEATURE_TEXTURE","- Aangepaste textuur"
"TID_SKIN_FEATURE_COLOR","- Aangepaste kleuren"
"TID_HINT_44","Bij KRACHTSPEL word je gekoppeld aan andere spelers op basis van je huidige punten in het KRACHTSPEL-seizoen."
"TID_OPTIONAL_OR","OF"
"TID_LONESTAR_01","Verlaten watervallen"
"TID_LONESTAR_02","Trefzeker"
"TID_LONESTAR_03","Vastgekluisterd"
"TID_LONESTAR_04","Met de eer strijken"
"TID_LONESTAR_05","Bloemkool"
"TID_LONESTAR_06","Op het nippertje"
"TID_LONESTAR_07","Solomissie"
"TID_LONESTAR_08","Kruispunt"
"TID_BOSS_RACE_8","Oliepiek"
"TID_BOSS_RACE_9","Koekoekscoup"
"TID_BOSS_RACE_10","Oud ijzer"
"TID_BOSS_RACE_11","Funky punk"
"TID_BOSS_RACE_12","Aftrap"
"TID_BOSS_RACE_13","Alligatorsteeg"
"TID_BOSS_RACE_14","Strak spul"
"TID_CONTACT_US_WELCOME_TEXT","Hallo"
"TID_TEAM_CHAT_POPUP_INVITE","UITNODIGEN"
"TID_IAPS_NOT_READY","De aanbiedingen zijn nog niet geladen. Probeer het later opnieuw."
"TID_IAP_NOT_FOUND","Product niet gevonden"
"TID_TEAM_LOG_TAB","TEAMLOG"
"TID_TEAM_LOG_TITLE","TEAMLOG"
"TID_LEON_SALLY_SKIN","SALLY-LEON"
"TID_LEON_SALLY_SKIN_SHOP","SALLY-\nLEON"
"TID_CARL_LEONARD_SKIN","LEONARD-CARL"
"TID_CARL_LEONARD_SKIN_SHOP","LEONARD-\nCARL"
"TID_EL_PRIMO_BROWN_SKIN","EL BROWN"
"TID_EL_PRIMO_BROWN_SKIN_SHOP","EL BROWN"
"TID_PLAYER_CTX_SEND_FRIEND_REQUEST","VRIENDENVERZOEK VERZENDEN"
"TID_PLAYER_CTX_PROFILE","PROFIEL"
"TID_PLAYER_CTX_KICK","ERUIT ZETTEN"
"TID_EMOJIS_TITLE","EMOJI'S"
"TID_SHOP_OFFER_TITLE_NEW_BRAWLER","NIEUWE KNOKKER"
"TID_SHOP_OFFER_TITLE_NEW_SKIN","NIEUWE SKIN"
"TID_SHOP_OFFER_TITLE_BRAWLIDAYS_GIFT","Knokfeestdagen-cadeau"
"TID_LONESTAR_09","Vier wijken"
"TID_EXTRA_COPYRIGHT","\nBROWN & FRIENDS, copyright LINE\n"
"TID_ESTIMATED_MAINENANCE_TIME","Geschatte tijd: <TIME>"
"TID_IAP_XMAS_19_0","HET IS HET CADEAUSEIZOEN"
"TID_IAP_XMAS_19_1","FIJNE KNOKFEESTDAGEN"
"TID_IAP_XMAS_19_2","FIJNE KNOKFEESTDAGEN"
"TID_IAP_XMAS_19_3","FIJNE KNOKFEESTDAGEN"
"TID_IAP_XMAS_19_4","FIJNE KNOKFEESTDAGEN"
"TID_IAP_COINPACK_11_19","MUNTEN, MUNTEN, MUNTEN"
"TID_IAP_NEWYEAR_20","GELUKKIG NIEUWJAAR"
"TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE","BROWN & FRIENDS-skin"
"TID_HOME_PAGE_PENDING_DONATION","BELANGRIJK\nBERICHT"
"TID_SETTINGS_BLOCK_FRIEND_REQUESTS","VRIENDENVERZOEKEN BLOKKEREN"
"TID_SPAWNER_DUDE","MENEER P"
"TID_BEE_SNIPER","BEA"
"TID_BEE_SNIPER_SHORT_DESC","SCHERPSCHUTTER"
"TID_BEE_SNIPER_DESC","Bea houdt van bijen en knuffelpartijen. Ze lanceert haar mechanische bijen vanaf een afstandje en met haar super roept ze een boze bijenzwerm bijeen!"
"TID_BEE_SNIPER_WEAPON","ANGELAANVAL"
"TID_BEE_SNIPER_WEAPON_DESC","Bea vuurt een afstandsschot af. Als ze haar doelwit raakt, wordt haar volgende schot versterkt om epische schade aan te richten!"
"TID_BEE_SNIPER_ULTI","IJZEREN ZWERM"
