"TID","IT"
"TID_SPEC_ABI_REPAIR_SELF","Ripristino"
"TID_SPEC_ABI_REPAIR_SELF_DESC","Quando Tick non attacca e non subisce danni, rigenera la sua salute <c00cc00><VALUE1></c> secondi più velocemente del normale."
"TID_HEAD_HEALTH","Salute testa"
"TID_CLUSTER_BOMB_DUDE_SHORT_DESC","LANCIATORE"
"TID_CLUSTER_BOMB_DUDE_DESC","Tick è un concentrato di metallo ed energia... esplosiva! Col suo attacco base piazza delle mine, mentre con la super si smonta la testa, che va a caccia di un bersaglio su cui farsi esplodere."
"TID_CLUSTER_BOMB_DUDE_WEAPON","MINIMINE"
"TID_CLUSTER_BOMB_DUDE_ULTI","TESTA CALDA"
"TID_CLUSTER_BOMB_DUDE_WEAPON_DESC","Tick lancia delle mine che si sparpagliano sul terreno ed esplodono dopo alcuni secondi oppure quando i nemici le calpestano."
"TID_CLUSTER_BOMB_DUDE_ULTI_DESC","Tick usa la testa come una granata impazzita, che va alla ricerca dell'avversario più vicino ed esplode quando lo raggiunge."
"TID_CLUSTER_BOMB_DUDE","TICK"
"TID_SPEC_ABI_PREY_ON_THE_WEAK","Corvo avvoltoio"
"TID_SPEC_DAMAGE_SUPER","Riff aggressivo"
"TID_SPEC_DAMAGE_SUPER_DESC","La super di Pocho spacca i timpani ai nemici e gli infligge <c00cc00><VALUE1></c> punti danno."
"TID_SPEC_ABI_SUPER_DESTROY_WALLS","Senza pietà"
"TID_SPEC_ABI_SUPER_DESTROY_WALLS_DESC","Con la super Carl distrugge le coperture e gli ostacoli."
"TID_SPEC_ABI_SUPER_SLOW","Gomma appiccicosa"
"TID_SPEC_ABI_SUPER_SLOW_DESC","La chewing gum lanciata da Bibi con la super rallenta i nemici per <c00cc00><VALUE1></c> secondi."
"TID_SPEC_ABI_DAMAGE_BUFF_SUPER","Ganci spinosi"
"TID_SPEC_ABI_DAMAGE_BUFF_SUPER_DESC","I pugni di Rosa infliggono <c00cc00><VALUE1></c> danni in più quando usa la super."
"TID_SPEC_ABI_STUN_TRAP","Agguato"
"TID_SPEC_ABI_STUN_TRAP_DESC","Le trappole esplosive di Bo stordiscono i nemici per <c00cc00><VALUE1></c> secondi, invece di sbalzarli via."
"TID_SPEC_ABI_TURRET_ELECTRICITY","Lattina energizzata"
"TID_SPEC_ABI_TURRET_ELECTRICITY_DESC","La torretta di Jessie spara sfere di energia che rimbalzano da un nemico all'altro e la cui distanza aumenta del <c00cc00><VALUE1>%</c> rispetto alla norma dopo ogni rimbalzo."
"TID_SPEC_EXTRA_BULLET","Quarto potere"
"TID_SPEC_EXTRA_BULLET_DESC","Brock ha ora quattro colpi a disposizione, perché si è accorto che il suo lanciarazzi ha quattro scomparti e non tre."
"TID_SPEC_ABI_SPIKES_LOW_HEALTH","Sulle spine"
"TID_SPEC_ABI_SPIKES_LOW_HEALTH_DESC","Quando la sua salute è inferiore al <c00cc00><VALUE1>%</c>, Spike spara spine ovunque a intervalli regolari, ciascuna delle quali causa <c00cc00><VALUE2></c> punti danno."
"TID_SPEC_ABI_RELOAD_ON_HIT","In forma"
"TID_SPEC_ABI_RELOAD_ON_HIT_DESC","Quando Piper colpisce un brawler con il suo attacco, ricarica istantaneamente <c00cc00><VALUE1></c> colpi."
"TID_SPEC_ABI_GAIN_HEALTH","Baluardo"
"TID_SPEC_ABI_GAIN_HEALTH_DESC","Frank ottiene <c00cc00><VALUE1></c> punti salute in più."
"TID_SPEC_ABI_DASH_SHIELD","Argento vivo"
"TID_SPEC_ABI_DASH_SHIELD_DESC","Quanto Mortis scatta in avanti, tutti i danni che subisce sono ridotti del <c00cc00><VALUE2>%</c> per <c00cc00><VALUE1></c> secondi."
"TID_SPEC_ABI_SUPER_DAMAGE","Demolizione"
"TID_SPEC_ABI_SUPER_DAMAGE_DESC","Con la super Dynamike causa <c00cc00><VALUE1></c> punti danno in più."
"TID_SPEC_ABI_SPEED_LOW_HEALTH","Robofuga"
"TID_SPEC_ABI_SPEED_LOW_HEALTH_DESC","Quando la salute di Stecca è inferiore al <c00cc00><VALUE2>%</c>, la sua velocità aumenta del <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_SUPER_RELOAD","Doppiette rapide"
"TID_SPEC_ABI_SUPER_RELOAD_DESC","Quando Barryl usa la super, raddoppia la velocità di caricamento delle doppiette per <c00cc00><VALUE1></c> secondi."
"TID_SPEC_ABI_DAMAGE_MAIN_ATTACK","Cocktail micidiale"
"TID_SPEC_ABI_DAMAGE_MAIN_ATTACK_DESC","L'attacco di Bombardino causa <c00cc00><VALUE1></c> punti danno al secondo in più."
"TID_SPEC_ABI_SUPER_HEALS","Mano benevola"
"TID_SPEC_ABI_SUPER_HEALS_DESC","Quando Eugenio colpisce i suoi alleati, li cura con <c00cc00><VALUE1></c> punti salute."
"TID_SPEC_ABI_BLACK_HOLE_HEALER","Tarapeuta"
"TID_SPEC_ABI_BLACK_HOLE_HEALER_DESC","La super apre una crepa dimensionale, da cui esce una versione oscura di Tara che cura lei e i suoi alleati."
"TID_SPEC_ABI_RECHARGE","Ricarica automaTICKa"
"TID_SPEC_ABI_RECHARGE_DESC","Tick impiega il <c00cc00><VALUE1>%</c> in meno a ricaricare i colpi."
"TID_SPEC_ABI_CURVEBALL","Spine flessibili"
"TID_SPEC_ABI_CURVEBALL_DESC","Gli aghi che fuoriescono dalla bomba di Spike assumono una traiettoria curva, colpendo così più facilmente gli avversari."
"TID_SPEC_ABI_MEDIKIT","Cerotti"
"TID_SPEC_ABI_MEDIKIT_DESC","Quando la sua salute è inferiore al <c00cc00><VALUE1>%</c>, Shelly ne recupera immediatamente <c00cc00><VALUE2></c> unità. L'abilità torna disponibile dopo <c00cc00><VALUE3></c> secondi."
"TID_SPEC_ABI_IMMUNE_TO_CC","Muro di sabbia"
"TID_SPEC_ABI_IMMUNE_TO_CC_DESC","Sandy non può essere sbalzato indietro, rallentato o stordito."
"TID_SPEC_ABI_CURE_DEBUFFS","Armonia"
"TID_SPEC_ABI_CURE_DEBUFFS_DESC","Gli attacchi di Pocho rimuovono rallentamenti, stordimenti, avvelenamenti e ustioni dagli alleati colpiti."
"TID_SPEC_ABI_SHIELD_HOMERUN","Maga della difesa"
"TID_SPEC_ABI_SHIELD_HOMERUN_DESC","Quando l'indicatore del fuoricampo è carico, Bibi riduce qualsiasi danno subito del <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_WHIRLWIND_SHIELD","Vortice protettivo"
"TID_SPEC_ABI_WHIRLWIND_SHIELD_DESC","Durante la super, Carl riduce qualsiasi danno subito del <c00cc00><VALUE2>%</c>."
"TID_SELFHELP_UNAVAILABLE","Non puoi accedere alla sezione ''Guida e assistenza''. Riprova più tardi."
"TID_SPEC_ABI_LONGER_DASH","Turboscatto"
"TID_SPEC_ABI_LONGER_DASH_DESC","La distanza dello scatto aumenta del <c00cc00><VALUE1>%</c> quando l'apposito indicatore è carico. Quest'ultimo impiega <c00cc00><VALUE3></c> secondi per ricaricarsi, quando Mortis ha tutti i colpi disponibili."
"TID_BO_MECHA_SKIN","BO MECHA"
"TID_BO_MECHA_SKIN_SHOP","BO\nMECHA"
"TID_CROW_MECHA_SKIN","CORVO MECHA"
"TID_CROW_MECHA_SKIN_SHOP","CORVO\nMECHA"
"TID_MIKE_ROBO_SKIN","DYNAMACCHINA"
"TID_MIKE_ROBO_SKIN_SHOP","DYNAMACCHINA"
"TID_SPIKE_ROBO_SKIN","SPIKE AUTOMA"
"TID_SPIKE_ROBO_SKIN_SHOP","SPIKE\nAUTOMA"
"TID_BO_MECHA_GOLD_SKIN","BO MECHA DORATO"
"TID_BO_MECHA_GOLD_SKIN_SHOP","BO MECHA\nDORATO"
"TID_CROW_MECHA_GOLD_SKIN","CORVO MECHA DORATO"
"TID_CROW_MECHA_GOLD_SKIN_SHOP","CORVO MECHA\nDORATO"
"TID_BO_MECHA_LIGHT_SKIN","BO MECHA BIANCO"
"TID_BO_MECHA_LIGHT_SKIN_SHOP","BO MECHA\nBIANCO"
"TID_CROW_MECHA_NIGHT_SKIN","CORVO MECHA NOTTURNO"
"TID_CROW_MECHA_NIGHT_SKIN_SHOP","CORVO MECHA\nNOTTURNO"
"TID_BULL_LINEBACKER_SKIN","BULL LINEBACKER"
"TID_BULL_LINEBACKER_SKIN_SHOP","BULL\nLINEBACKER"
"TID_COLT_OUTLAW_SKIN","COLT FUORILEGGE"
"TID_COLT_OUTLAW_SKIN_SHOP","COLT\nFUORILEGGE"
"TID_CARL_HOG_RIDER_SKIN","CARL DOMATORE DI CINGHIALI"
"TID_CARL_HOG_RIDER_SKIN_SHOP","CARL\nDOMATORE DI CINGHIALI"
"TID_SKIN_INFO_ANIM_SOUND_FX_VOICE","- aspetto personalizzato del brawler\n- effetti personalizzati\n- animazioni personalizzate\n- suoni personalizzati\n- voce personalizzata"
"TID_SHOP_OFFER_STAR_SKIN_LABEL","SKIN STELLARE"
"TID_WANTED_15","Lungomare dei tesori"
"TID_WANTED_16","Costa del sole"
"TID_WANTED_17","Sabbie ardenti"
"TID_BANKHEIST_16","Spiaggia tropicale"
"TID_BANKHEIST_17","Dune brillanti"
"TID_BANKHEIST_18","Battigia ustionante"
"TID_BANKHEIST_18B","Parco urbano"
"TID_BALL_22","Campo da beach brawl"
"TID_BALL_23","Campetto sabbioso"
"TID_BALL_24","Lido dei campioni"
"TID_BALL_25","Spiaggetta"
"TID_STARPOINTSGAINED","<TOTALDECAY> trofei sono stati convertiti in <STARPOINTSGAINED> punti stellari."
"TID_TROPHIES_LOST","I trofei totali perduti sono <AMOUNT>."
"TID_TROPHIES_CONVERTED","I trofei perduti sono stati convertiti in <AMOUNT> punti stellari."
"TID_IAP_SOM_PACK_1","OFFERTA ESTIVA"
"TID_IAP_SOM_PACK_2","OFFERTA ESTIVA"
"TID_IAP_SOM_PACK_3","OFFERTA ESTIVA"
"TID_IAP_SOM_PACK_4","OFFERTA ESTIVA"
"TID_IAP_AUGUST_PACK_1","OFFERTA ESTIVA"
"TID_IAP_AUGUST_PACK_2","CIAO CIAO ESTATE"
"TID_IAP_FLASH_PACK_1","GRANDE OFFERTA"
"TID_IAP_FLASH_PACK_2","OCCASIONE"
"TID_IAP_MOON_19_PACK_1","FESTA DELLA LUNA"
"TID_IAP_MOON_19_PACK_2","FESTA DELLA LUNA"
"TID_SPEC_ABI_RESURRECT","Vita extra"
"TID_SPEC_ABI_RESURRECT_DESC","8-BIT torna subito in vita dopo essere stato sconfitto per la prima volta in uno scontro."
"TID_SPEC_ABI_GROW_FROM_DAMAGE","Salute di ferro"
"TID_SPEC_ABI_GROW_FROM_DAMAGE_DESC","Colpendo i nemici, El primo carica l'indicatore della salute extra che, una volta pieno, aumenta la salute massima di <c00cc00><VALUE1></c> punti. Il bonus termina quando El Primo è eliminato."
"TID_SPEC_ABI_ARMOR","Gilet antiproiettile"
"TID_SPEC_ABI_ARMOR_DESC","Questa abilità, mostrata dall'indicatore giallo, protegge Colt dai primi <c00cc00><VALUE1></c> punti danno che subisce e torna disponibile ogni volta che viene sconfitto."
"TID_SPEC_ABI_WALKING_TURRET","A spasso con Lattina"
"TID_SPEC_ABI_WALKING_TURRET_DESC","La fidata torretta di Jessie la segue ovunque."
"TID_SPEC_SHIELD_ULTI","Super difesa"
"TID_SPEC_SHIELD_ULTI_DESC","Quando Brock ha a disposizione la super e non la usa, ottiene uno scudo protettivo che riduce del <c00cc00><VALUE1>%</c> tutti i danni che subisce."
"TID_SPEC_ABI_PET","Canarino canaglia"
"TID_SPEC_ABI_PET_DESC","L'amico pennuto di Dynamike si unisce alla battaglia!"
"TID_SPEC_ABI_DAMAGE_ULTI","Ceffone magico"
"TID_SPEC_ABI_DAMAGE_ULTI_DESC","Quando la super di Eugenio è carica, gli attacchi causano <c00cc00><VALUE1></c> punti danno in più."
"TID_ARCADE","8-BIT"
"TID_ARCADE_DESC","8-BIT si muove a fatica, forse perché è letteralmente un cabinato in movimento, ma spara temibili raggi laser e la super permette a lui e agli alleati di aumentare i danni causati!"
"TID_ARCADE_SHORT_DESC","TIRATORE"
"TID_ARCADE_WEAPON","RAGGI LASER"
"TID_ARCADE_ULTI","POTENZIADANNI"
"TID_ARCADE_WEAPON_DESC","Spara una serie di raggi laser che raggiungono distanze medie e coprono una stretta area a cono."
"TID_ARCADE_ULTI_DESC","Schiera una torretta che aumenta i danni causati da lui e da tutti gli alleati che si trovano nella sua area d'effetto."
"TID_STAT_DAMAGE_BOOST","Percentuale potenziamento"
"TID_HERO_INFO_ABILITY_POWER_PERCENT","<BASEPOW>%"
"TID_STAT_DAMAGE_PER_BEAM","Danni per raggio"
"TID_SPEC_ABI_LARGER_AREA_ULTI","Potenziadanni potenziato"
"TID_SPEC_ABI_LARGER_AREA_ULTI_DESC","L'area d'azione del potenziadanni aumenta del <c00cc00><VALUE1>%</c>."
"TID_DAMAGE_BOOSTER_HEALTH","Salute del potenziadanni"
"TID_BEST_VALUE_DISCOUNT","-<VALUE>%"
"TID_BEST_VALUE_EXTRA","<VALUE>%\nEXTRA"
"TID_BEST_VALUE_BONUS","<VALUE>%\nBONUS"
"TID_PROMOCODE_PACK","PACCH. PROMOZIONALE"
"TID_DIAMONDS","Gemme"
"TID_BATTLE_ROYALE_22A","Cima arida"
"TID_BATTLE_ROYALE_23A","Lande sperdute"
"TID_BATTLE_ROYALE_24A","Terre incolte"
"TID_GOLDRUSH_24A","Cava abbandonata"
"TID_WANTED_17A","Oasi selvaggia"
"TID_BALL_14A","Pinetina"
"TID_BALL_15A","Brawliami Beach"
"TID_SHOP_LABEL_BEST_VALUE","OCCASIONE"
"TID_SHOP_LABEL_MOST_POPULAR","LA PIÙ POPOLARE"
"TID_SHOP_LABEL_POPULAR","POPOLARE"
"TID_SHOP_LABEL_PERCENT_BONUS","<VALUE>% BONUS"
"TID_SHOP_LABEL_PERCENT_EXTRA","<VALUE>% <cFFDB4F>EXTRA</c>"
"TID_BATTLE_ROYALE_25A","Isola dei sopravvissuti"
"TID_BATTLE_ROYALE_26A","Distese afose"
"TID_BATTLE_ROYALE_27A","Brughiera del wrestler"
"TID_BATTLE_ROYALE_28A","Campo dell'invidia"
"TID_PIPER_PINK_SKIN","PIPER ROSA"
"TID_PIPER_PINK_SKIN_SHOP","PIPER\nROSA"
"TID_TARA_BLUE_SKIN","TARA TURCHINA"
"TID_TARA_BLUE_SKIN_SHOP","TARA\nTURCHINA"
"TID_8BIT_CLASSIC_SKIN","8-BIT VINTAGE"
"TID_8BIT_CLASSIC_SKIN_SHOP","8-BIT\nVINTAGE"
"TID_LEON_SHARK_SKIN","LEON SQUALO"
"TID_LEON_SHARK_SKIN_SHOP","LEON\nSQUALO"
"TID_BATTLE_ROYALE_29A","Paradiso pericoloso"
"TID_BATTLE_ROYALE_30A","Crocevia funesto"
"TID_BATTLE_ROYALE_31A","Spianata dei giusti"
"TID_BALL_16A","White Brawl Lane"
"TID_BALL_17A","Brawlfield"
"TID_BALL_18A","King Brawler Stadium"
"TID_BALL_19A","Brawllianz Stadium"
"TID_BALL_20A","Brawlnabéu"
"TID_IAP_INFO_MORE_INFO_BTN","자세히보기"
"TID_SANDSTORM","SANDY"
"TID_GAME_MODE_14","CACCIA AL BOSS"
"TID_GAME_MODE_14_DESC","Causa più danni al boss rispetto ai tuoi avversari per scalare la classifica e piazzarti al primo posto.\n\nAumenta la salute e la potenza di attacco raccogliendo i cubi di energia che appariranno casualmente nella mappa."
"TID_BOSS_RACE_INTRO_TEXT","Causa più danni che puoi al boss!"
"TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL","Tutti vs tutti"
"TID_BOSS_RACE_1","Deserto dei superstiti"
"TID_BOSS_RACE_IN_LEAD","Sei in testa!"
"TID_BOSS_RACE_DOING_GOOD","Continua così!"
"TID_BOSS_RACE_DOING_OK","Puoi fare di meglio."
"TID_BOSS_RACE_DOING_BAD","Cerca di colpire il boss!"
"TID_SHOP_SCID_SKIN_OFFER_TITLE","COLLEGATI A SUPERCELL ID E OTTERRAI <c<COLOR>>GRATUITAMENTE</c> <NAME>!"
"TID_SHOP_SCID_SKIN_OFFER_DESC","SUPERCELL ID"
"TID_SHOP_SCID_SKIN_OFFER_CLAIM","CONNETTI"
"TID_GAME_MODE_15","STELLA SOLITARIA"
"TID_GAME_MODE_15_DESC","Colleziona le stelle eliminando gli avversari. Guadagnerai una stella per ogni nemico sconfitto per un massimo di sette stelle.\n\nVince chi possiede il maggior numero di stelle allo scadere del tempo."
"TID_SOLO_BOUNTY_IN_LEAD","Sei in testa!"
"TID_SOLO_BOUNTY_DOING_GOOD","Continua così!"
"TID_SOLO_BOUNTY_DOING_OK","Puoi fare di meglio."
"TID_SOLO_BOUNTY_DOING_BAD","Hai bisogno di più stelle!"
"TID_SANDSTORM_SHORT_DESC","SUPPORTO"
"TID_SANDSTORM_DESC","Sandy è un brawler con problemi di insonnia che controlla la sabbia come nessun altro. Attacca i nemici con ciottoli appuntiti e con la super evoca una tempesta di sabbia che rende invisibile se stesso e i suoi alleati."
"TID_SANDSTORM_WEAPON","SASSATA"
"TID_SANDSTORM_WEAPON_DESC","Sandy perfora i nemici con ciottoli appuntiti. Chi incrocia la sua strada ci resta di sasso!"
"TID_SANDSTORM_ULTI","TEMPESTA DI SABBIA"
"TID_SANDSTORM_ULTI_DESC","Sandy evoca una tempesta di sabbia della durata di <time> secondi, che rende invisibile se stesso e i suoi alleati."
"TID_STAT_SANDSTORM","Tempesta di sabbia"
"TID_SPEC_ABI_SANDSTORM_DOT","Tempesta violenta"
"TID_SPEC_ABI_SANDSTORM_DOT_DESC","La tempesta di sabbia infligge anche <c00cc00><VALUE1></c> punti danno al secondo ai nemici."
"TID_SPEC_ABI_SANDSTORM_HOT","Venti benefici"
"TID_SPEC_ABI_SANDSTORM_HOT_DESC","La tempesta di sabbia ha anche un effetto curativo, che fa recuperare a Sandy e ai suoi alleati <c00cc00><VALUE1></c> punti salute al secondo."
"TID_SHOP_SKIN_SALE","SKIN IN SCONTO"
"TID_IAP_B2S_19_PACK_1","SI TORNA A SCUOLA!"
"TID_IAP_B2S_19_PACK_2","SI TORNA A SCUOLA!"
"TID_IAP_B2S_19_PACK_3","SI TORNA A SCUOLA!"
"TID_GENE_PIRATE_SKIN","EUGENIO CORSARO"
"TID_GENE_PIRATE_SKIN_SHOP","EUGENIO\nCORSARO"
"TID_BARLEY_RED_WIZARD_SKIN","BOMBARDINO STREGONE ROSSO"
"TID_BARLEY_RED_WIZARD_SKIN_SHOP","BOMBARDINO\nSTREGONE ROSSO"
"TID_SANDY_SLEEPY_SKIN","SANDY DORMIGLIONE"
"TID_SANDY_SLEEPY_SKIN_SHOP","SANDY\nDORMIGLIONE"
"TID_BOSS_RACE_2","Distesa del boss"
"TID_BOSS_RACE_3","Landa dell'alleanza"
"TID_BOSS_RACE_4","Deserto dei forzuti"
"TID_BOSS_RACE_5","Cima delle fatiche"
"TID_BOSS_RACE_6","Labirinto caotico"
"TID_BOSS_RACE_7","Isola delle contese"
"TID_SHOP_SKIN_NEW_RELEASE","NUOVO ARRIVO"
"TID_SEASON_END_OFFER","OFFERTA DI FINE STAGIONE"
"TID_IAP_OCTOBER_OFFER","OFFERTA DI OTTOBRE"
"TID_IAP_MONDAY_OFFER","AH, I LUNEDÌ..."
"TID_IAP_VERY_SPECIAL_OFFER","OFFERTA SUPER SPECIALE"
"TID_IAP_IKE_ROYALE","IKE ROYALE"
"TID_IAP_COIN_SHOWER","PIOGGIA DI MONETE"
"TID_MUMMY","EMZ"
"TID_ADDITIONAL_GEM_TOOLTIP_FOR_JAPAN","\n\nGemme acquistate: <PAID>\nGemme gratuite: <FREE>\nTotale: <TOTAL>"
"TID_RANK","Posizione: <val> su 10"
"TID_SOLO_BOUNTY_NO_RANK","Sconfiggi i brawler per ottenere le stelle!"
"TID_BOSS_RACE_NO_RANK","Colpisci il boss!"
"TID_MUMMY_SHORT_DESC","COMBATTENTE"
"TID_MUMMY_DESC","Emz spruzza della lacca che provoca danni nel tempo ai nemici. Con la super, invece, rallenta i movimenti degli avversari."
"TID_MUMMY_WEAPON","SPRAY"
"TID_MUMMY_WEAPON_DESC","Emz spruzza della lacca tanto potente da sciogliere gli avversari."
"TID_MUMMY_ULTI","PERSONALITÀ CORROSIVA"
"TID_MUMMY_ULTI_DESC","La personalità di Emz crea un'aura tossica attorno a lei, che rallenta e infligge danni ai nemici coinvolti."
"TID_STAT_MUMMY","Emz"
"TID_SPEC_ABI_TICK_DMG_GROW","Aria viziata"
"TID_SPEC_ABI_TICK_DMG_GROW_DESC","I nemici colpiti dai fumi tossici della lacca di Emz subiscono danni che aumentano del <c00cc00><VALUE1></c>% per ogni colpo ricevuto."
"TID_SPEC_ABI_HEAL_SUPER_DMG","Hype"
"TID_SPEC_ABI_HEAL_SUPER_DMG_DESC","Emz recupera <c00cc00><VALUE1></c> punti salute al secondo per ogni brawler nemico colpito dall'aura tossica della sua super."
"TID_FRIEND_ADD_YOUR_ID","Il tuo ID: <ID>"
"TID_FRIEND_ADD_BUTTON","AGGIUNGI\nUN AMICO"
"TID_FRIEND_ADD_BUTTON_SHORT","AGGIUNGI"
"TID_FRIEND_ADD_DEFAULT_TEXT","ID giocatore"
"TID_FRIEND_ADD_CODE_SENT","Richiesta di amicizia inviata."
"TID_FRIEND_ADD_CODE_INVALID","ID giocatore non valido!"
"TID_IAP_CYBER_WEEK_19_1","OFFERTE DELLA CYBER WEEK"
"TID_IAP_CYBER_WEEK_19_2","OFFERTE DELLA CYBER WEEK"
"TID_IAP_CYBER_WEEK_19_3","OFFERTE DELLA CYBER WEEK"
"TID_IAP_GSTAR2019_FINALS","PACCHETTO FINALI MONDIALI"
"TID_IAP_BRAWLOWEEN_19_1","È BRAWL-O-WEEN!"
"TID_IAP_BRAWLOWEEN_19_2","DOLCETTO O... MONETE?"
"TID_IAP_BRAWLOWEEN_19_3","TUTTE LE SKIN!"
"TID_IAP_ARABIC_19_1","GIOCA IN ARABO"
"TID_IAP_ARABIC_19_2","GIOCA IN ARABO"
"TID_EVENT_MODIFIER_8","LASERONI"
"TID_EVENT_MODIFIER_DESC_8","Il boss spara dei laser."
"TID_EVENT_MODIFIER_9","FULMINI CONCATENATI"
"TID_EVENT_MODIFIER_DESC_9","Il boss spara dei fulmini concatenati."
"TID_EVENT_MODIFIER_10","ATTACCO MISSILISTICO"
"TID_EVENT_MODIFIER_DESC_10","Il boss spara dei missili."
"TID_STAT_DAMAGE_PER_HALF_SECOND","Danni ogni 0,5 secondi"
"TID_FRIENDS_PAGE_BUTTON_INVITE","INVITA"
"TID_TEAM_ROOM_CODE","Codice squadra:"
"TID_TEAM_ROOM_CODE_SHORT","SQUADRA:\n<NUM>"
"TID_FRIENDS_PAGE_SOCIAL_NETWORKS","SOCIAL NETWORK"
"TID_CLAN_TAB_MEMBERS","Membri: <NUM>/<TOTAL>"
"TID_CLAN_TAB_CHAT","Chat"
"TID_SHELLY_WITCH_SKIN","SHELLY STREGA"
"TID_SHELLY_WITCH_SKIN_SHOP","SHELLY\nSTREGA"
"TID_LEON_WEREWOLF_SKIN","LEON LUPO MANNARO"
"TID_LEON_WEREWOLF_SKIN_SHOP","LEON\nLUPO MANNARO"
"TID_PIPER_CALAVERA_SKIN","PIPER CALAVERA"
"TID_PIPER_CALAVERA_SKIN_SHOP","PIPER\nCALAVERA"
"TID_FRANK_DJ_SKIN","DJ FRANK"
"TID_FRANK_DJ_SKIN_SHOP","DJ\nFRANK"
"TID_JESSIE_DARK_KNIGHT_SKIN","JESSIE CAVALIERE NERO"
"TID_JESSIE_DARK_KNIGHT_SKIN_SHOP","JESSIE\nCAVALIERE NERO"
"TID_SKIN_FEATURE_MODEL","- aspetto personalizzato del brawler"
"TID_SKIN_FEATURE_PET","- aspetto personalizzato dell'animale"
"TID_SKIN_FEATURE_TURRET","- aspetto personalizzato della torretta"
"TID_SKIN_FEATURE_VFX","- effetti personalizzati"
"TID_SKIN_FEATURE_ANIM","- animazioni personalizzate"
"TID_SKIN_FEATURE_SFX","- suoni personalizzati"
"TID_SKIN_FEATURE_VOICE","- voce personalizzata"
"TID_SKIN_FEATURE_TEXTURE","- texture personalizzate"
"TID_SKIN_FEATURE_COLOR","- colori personalizzati"
"TID_HINT_44","Quando giochi a SETE DI POTERE, ti verranno abbinati degli avversari in base ai punti che possiedi nella stagione attuale."
"TID_OPTIONAL_OR","OPPURE"
"TID_LONESTAR_01","Cascate della perdizione"
"TID_LONESTAR_02","Costa stellata"
"TID_LONESTAR_03","Lande della follia"
"TID_LONESTAR_04","Terre valorose"
"TID_LONESTAR_05","Campo di cavolfiori"
"TID_LONESTAR_06","Terre rovinose"
"TID_LONESTAR_07","Oasi solitaria"
"TID_LONESTAR_08","Crocevia delle sfide"
"TID_BOSS_RACE_8","Picco minaccioso"
"TID_BOSS_RACE_9","Valle degli assalti"
"TID_BOSS_RACE_10","Deposito degli scarti"
"TID_BOSS_RACE_11","Terre cibernetiche"
"TID_BOSS_RACE_12","Landa dei confronti"
"TID_BOSS_RACE_13","Palude degli alligatori"
"TID_BOSS_RACE_14","Strettoia"
"TID_CONTACT_US_WELCOME_TEXT","Salve"
"TID_TEAM_CHAT_POPUP_INVITE","INVITA"
"TID_IAPS_NOT_READY","Le offerte non sono state ancora caricate. Prova in seguito."
"TID_IAP_NOT_FOUND","Articolo non trovato."
"TID_TEAM_LOG_TAB","REGISTRO SQUADRA"
"TID_TEAM_LOG_TITLE","REGISTRO SQUADRA"
"TID_LEON_SALLY_SKIN","LEON SALLY"
"TID_LEON_SALLY_SKIN_SHOP","LEON\nSALLY"
"TID_CARL_LEONARD_SKIN","CARL LEONARD"
"TID_CARL_LEONARD_SKIN_SHOP","CARL\nLEONARD"
"TID_EL_PRIMO_BROWN_SKIN","EL BROWN"
"TID_EL_PRIMO_BROWN_SKIN_SHOP","EL BROWN"
"TID_PLAYER_CTX_SEND_FRIEND_REQUEST","RICHIEDI AMICIZIA"
"TID_PLAYER_CTX_PROFILE","PROFILO"
"TID_PLAYER_CTX_KICK","ESPELLI"
"TID_EMOJIS_TITLE","EMOJI"
"TID_SHOP_OFFER_TITLE_NEW_BRAWLER","NUOVO BRAWLER"
"TID_SHOP_OFFER_TITLE_NEW_SKIN","NUOVA SKIN"
"TID_SHOP_OFFER_TITLE_BRAWLIDAYS_GIFT","REGALO PER LE FESTE"
"TID_LONESTAR_09","Quattro quartieri"
"TID_EXTRA_COPYRIGHT","\nBROWN & FRIENDS, copyright LINE\n"
"TID_ESTIMATED_MAINENANCE_TIME","Tempo stimato: <TIME>"
"TID_IAP_XMAS_19_0","ARRIVANO LE FESTE"
"TID_IAP_XMAS_19_1","BUONE FESTE"
"TID_IAP_XMAS_19_2","BUONE FESTE"
"TID_IAP_XMAS_19_3","BUONE FESTE"
"TID_IAP_XMAS_19_4","BUONE FESTE"
"TID_IAP_COINPACK_11_19","MONETE A PALATE"
"TID_IAP_NEWYEAR_20","BUON ANNO"
"TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE","Skin di BROWN & FRIENDS"
"TID_HOME_PAGE_PENDING_DONATION","AVVISO\nIMPORTANTE"
"TID_SETTINGS_BLOCK_FRIEND_REQUESTS","BLOCCA LE RICHIESTE\nDI AMICIZIA"
"TID_SPAWNER_DUDE","MISTER P"
"TID_BEE_SNIPER","BEA"
"TID_BEE_SNIPER_SHORT_DESC","TIRATRICE"
"TID_BEE_SNIPER_DESC","Bea ama dispensare abbracci e... punture! Spara dei pungiglioni meccanici che raggiungono lunghe distanze e con la super attacca i brawler nemici con uno sciame di api arrabbiate!"
"TID_BEE_SNIPER_WEAPON","MEGAPUNGIGLIONE"
