"TID_SPEC_ABI_PET_ATTACK_SPEED","Gấu Tăng động"
"TID_SPEC_ABI_PET_ATTACK_SPEED_DESC","Gấu của Nita sẽ tung đòn tấn công nhanh hơn. Thời gian giữa các đòn tấn công được giảm đi <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_LOW_HEALTH_SHIELD","Mình đồng da sắt"
"TID_SPEC_ABI_LOW_HEALTH_SHIELD_DESC","Khi máu của Bull thấp hơn <c00cc00><VALUE1>%</c>, anh ta sẽ gồng mình lên và làm giảm <c00cc00><VALUE2>%</c> tất cả sát thương nhận vào."
"TID_SPEC_ABI_ATTACK_RANGE","Súng lục Thần thánh"
"TID_SPEC_ABI_ATTACK_RANGE_DESC","Đạn từ đòn tấn công của Colt bay xa và nhanh hơn <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_TURRET_AOE","Đòn roi của Mẹ"
"TID_SPEC_ABI_TURRET_AOE_DESC","Trụ cứu thương giờ đây cũng sẽ gây <c00cc00><VALUE1></c> sát thương mỗi giây lên đối thủ."
"TID_SPEC_ABI_SPEED_AFTER_ULTI","Tốc bão Thiên thạch"
"TID_SPEC_ABI_SPEED_AFTER_ULTI_DESC","Sau khi dùng Tuyệt chiêu, tốc độ di chuyển của El Primo sẽ tăng thêm <c00cc00><VALUE1>%</c> trong <c00cc00><VALUE2></c> giây."
"TID_SPEC_ABI_HOT_INVISIBLE","Hồi máu Vô hình"
"TID_SPEC_ABI_HOT_INVISIBLE_DESC","Leon hồi <c00cc00><VALUE1></c> máu mỗi giây khi đang dùng Tuyệt chiêu."
"TID_SPEC_ULTI_BURN","Hỏa Cầu"
"TID_SPEC_ULTI_BURN_DESC","Đạn đại bác của Penny sẽ đốt cháy mặt đất trong 3 giây. Đối thủ đứng trong vùng cháy sẽ chịu <c00cc00><VALUE1></c> sát thương mỗi giây!"
"TID_SPEC_ABI_REPAIR_SELF","Vận hành Trơn tru"
"TID_SPEC_ABI_REPAIR_SELF_DESC","Khi không tấn công hay chịu sát thương, Tick sẽ bắt đầu hồi máu nhanh hơn <c00cc00><VALUE1></c> giây so với bình thường."
"TID_HEAD_HEALTH","Máu đầu"
"TID_CLUSTER_BOMB_DUDE_SHORT_DESC","CAO THỦ NÉM"
"TID_CLUSTER_BOMB_DUDE_DESC","Tick là chàng người máy hiếu động, năng động và có phần hơi tăng động! Cậu ta ném mìn, cùng với Tuyệt chiêu là tháo gỡ đầu của mình ra để nó truy tìm đối thủ và nổ tung."
"TID_CLUSTER_BOMB_DUDE_WEAPON","MÌN MINI"
"TID_CLUSTER_BOMB_DUDE_ULTI","CHIẾC ĐẦU PHÁT NỔ"
"TID_CLUSTER_BOMB_DUDE_WEAPON_DESC","Tick tấn công bằng cách ném ra một cụm mìn nổ. Cụm mìn sẽ tách ra trước khi đáp đất, và nổ tung sau một vài giây hoặc ngay khi bị đối thủ chạm phải."
"TID_CLUSTER_BOMB_DUDE_ULTI_DESC","Tick tháo đầu của mình ra rồi ném đi. Sau khi đáp đất, chiếc đầu sẽ nhảy về phía đối thủ gần nhất và nổ tung!"
"TID_CLUSTER_BOMB_DUDE","TICK"
"TID_SPEC_ABI_PREY_ON_THE_WEAK","Quạ Mỏ nhỏ"
"TID_SPEC_DAMAGE_SUPER","Độc tấu Đỉnh cao"
"TID_SPEC_DAMAGE_SUPER_DESC","Tuyệt chiêu của Poco giờ đây cũng sẽ gây <c00cc00><VALUE1></c> sát thương lên đối thủ."
"TID_SPEC_ABI_SUPER_DESTROY_WALLS","Quay vòng Đập phá"
"TID_SPEC_ABI_SUPER_DESTROY_WALLS_DESC","Tuyệt chiêu của Carl giờ đây sẽ phá hủy chỗ núp và vật cản."
"TID_SPEC_ABI_SUPER_SLOW","Kẹo cao su Dính"
"TID_SPEC_ABI_SUPER_SLOW_DESC","Tuyệt chiêu của Bibi sẽ làm chậm đối thủ trong <c00cc00><VALUE1></c> giây!"
"TID_SPEC_ABI_DAMAGE_BUFF_SUPER","Găng tay Gai"
"TID_SPEC_ABI_DAMAGE_BUFF_SUPER_DESC","Đòn đấm của Rosa sẽ tăng <c00cc00>+<VALUE1></c> sát thương khi dùng Tuyệt chiêu."
"TID_SPEC_ABI_STUN_TRAP","Bẫy Gấu"
"TID_SPEC_ABI_STUN_TRAP_DESC","Thay vì đánh bật ngược đối thủ, giờ đây bẫy của Bo sẽ làm choáng đối thủ trong <c00cc00><VALUE1></c> giây!"
"TID_SPEC_ABI_TURRET_ELECTRICITY","Điện giật"
"TID_SPEC_ABI_TURRET_ELECTRICITY_DESC","Trụ súng dã chiến giờ đây sẽ bắn ra những quả cầu năng lượng nảy qua lại giữa kẻ địch. Tầm bay của quả cầu sau khi nảy là <c00cc00><VALUE1>%</c> so với bình thường."
"TID_SPEC_EXTRA_BULLET","Tên lửa số 4"
"TID_SPEC_EXTRA_BULLET_DESC","Brock nạp quả tên lửa thứ tư vào súng phóng để tăng số lần bắn của mình (trước đây thì trong súng của anh ta có ba quả tên lửa và một bình nước giữ nhiệt)."
"TID_SPEC_ABI_SPIKES_LOW_HEALTH","Bùng nổ Gai"
"TID_SPEC_ABI_SPIKES_LOW_HEALTH_DESC","Khi máu của Spike thấp hơn <c00cc00><VALUE1>%</c>, Spike bắt đầu bắn ra gai và gây <c00cc00><VALUE2></c> sát thương mỗi gai!"
"TID_SPEC_ABI_RELOAD_ON_HIT","Bắn nhanh Tỉa gọn"
"TID_SPEC_ABI_RELOAD_ON_HIT_DESC","Khi bắn trúng đối thủ, Piper sẽ nạp lại <c00cc00><VALUE1></c> viên đạn ngay lập tức."
"TID_SPEC_ABI_GAIN_HEALTH","Mút Xốp"
"TID_SPEC_ABI_GAIN_HEALTH_DESC","Frank tăng thêm <c00cc00>+<VALUE1></c> máu."
"TID_SPEC_ABI_DASH_SHIELD","Nhanh quá đi thôi"
"TID_SPEC_ABI_DASH_SHIELD_DESC","Khi Mortis xông pha về phía trước, anh ta sẽ được giảm <c00cc00><VALUE2>%</c> mọi sát thương nhận vào trong <c00cc00><VALUE1></c> giây."
"TID_SPEC_ABI_SUPER_DAMAGE","Nổ tan tành"
"TID_SPEC_ABI_SUPER_DAMAGE_DESC","Tăng <c00cc00>+<VALUE1></c> sát thương cho Tuyệt chiêu của Mike."
"TID_SPEC_ABI_SPEED_LOW_HEALTH","Robo rút quân"
"TID_SPEC_ABI_SPEED_LOW_HEALTH_DESC","Khi máu của Rico thấp hơn <c00cc00><VALUE2>%</c>, cậu ta sẽ di chuyển nhanh hơn <c00cc00><VALUE1>%</c>!"
"TID_SPEC_ABI_SUPER_RELOAD","Tranh thủ Nạp đạn"
"TID_SPEC_ABI_SUPER_RELOAD_DESC","Khi Darryl dùng Tuyệt chiêu, tốc độ nạp đạn của cậu ta nhanh gấp đôi trong <c00cc00><VALUE1></c> giây."
"TID_SPEC_ABI_DAMAGE_MAIN_ATTACK","Nồng độ Cao"
"TID_SPEC_ABI_DAMAGE_MAIN_ATTACK_DESC","Tăng <c00cc00>+<VALUE1></c> sát thương mỗi giây cho đòn tấn công của Barley."
"TID_SPEC_ABI_SUPER_HEALS","Bàn tay Tương trợ"
"TID_SPEC_ABI_SUPER_HEALS_DESC","Tuyệt chiêu của Thần Đèn khi đánh trúng đồng đội sẽ hồi <c00cc00><VALUE1></c> máu cho họ."
"TID_SPEC_ABI_BLACK_HOLE_HEALER","Bóng râm Thiện lành"
"TID_SPEC_ABI_BLACK_HOLE_HEALER_DESC","Tuyệt chiêu của Tara sẽ mở ra một cánh cổng không gian! Phiên bản bóng mờ của Tara sẽ xuất hiện và hồi máu cho Tara cùng đồng đội."
"TID_SPEC_ABI_RECHARGE","Nạp tự động"
"TID_SPEC_ABI_RECHARGE_DESC","Thời gian hồi chiêu của Tick giảm <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_CURVEBALL","Bóng Cầu vồng"
"TID_SPEC_ABI_CURVEBALL_DESC","Gai từ lựu đạn gai của Spike sẽ bay ra theo đường vòng và dễ trúng mục tiêu hơn."
"TID_SPEC_ABI_MEDIKIT","Băng keo cá nhân"
"TID_SPEC_ABI_MEDIKIT_DESC","Khi máu của Shelly tụt xuống dưới <c00cc00><VALUE1>%</c>, cô ấy sẽ hồi lại <c00cc00><VALUE2></c> máu ngay lập tức. Băng keo cá nhân sẽ hồi lại sau <c00cc00><VALUE3></c> giây."
"TID_SPEC_ABI_IMMUNE_TO_CC","Sa thạch"
"TID_SPEC_ABI_IMMUNE_TO_CC_DESC","Sandy giờ đây sẽ miễn nhiễm mọi trạng thái choáng, chậm và bị đánh bật."
"TID_SPEC_ABI_CURE_DEBUFFS","Nhạc âm Thanh trừng"
"TID_SPEC_ABI_CURE_DEBUFFS_DESC","Đòn tấn công của Poco sẽ xóa bỏ mọi trạng thái chậm, choáng, độc và bỏng khỏi đồng đội."
"TID_SPEC_ABI_SHIELD_HOMERUN","Thế Vung gậy"
"TID_SPEC_ABI_SHIELD_HOMERUN_DESC","Khi thanh Chạy về đích của Bibi được tích đầy, mọi sát thương cô ấy nhận vào sẽ giảm <c00cc00><VALUE1>̀</c>."
"TID_SPEC_ABI_WHIRLWIND_SHIELD","Vòng xoay Bảo vệ"
"TID_SPEC_ABI_WHIRLWIND_SHIELD_DESC","Khi dùng Tuyệt chiêu, Carl sẽ giảm <c00cc00><VALUE2>%</c> mọi sát thương nhận được."
"TID_SELFHELP_UNAVAILABLE","Trợ giúp và hỗ trợ hiện không khả dụng. Xin thử lại sau."
"TID_SPEC_ABI_LONGER_DASH","Rắn cuộn mình"
"TID_SPEC_ABI_LONGER_DASH_DESC","Mortis nhận Thanh Xông pha! Tầm xông pha của Mortis sẽ tăng <c00cc00><VALUE1>%</c> khi thanh này được tích đầy. Khi Mortis có đủ ba lần tấn công, thanh này sẽ mất <c00cc00><VALUE3></c> giây để được tích đầy."
"TID_BO_MECHA_SKIN","BO ROBOT"
"TID_BO_MECHA_SKIN_SHOP","BO\nROBOT"
"TID_CROW_MECHA_SKIN","QUẠ ROBOT"
"TID_CROW_MECHA_SKIN_SHOP","QUẠ\nROBOT"
"TID_MIKE_ROBO_SKIN","MIKE ROBOT"
"TID_MIKE_ROBO_SKIN_SHOP","MIKE\nROBOT"
"TID_SPIKE_ROBO_SKIN","SPIKE ROBOT"
"TID_SPIKE_ROBO_SKIN_SHOP","SPIKE\nROBOT"
"TID_BO_MECHA_GOLD_SKIN","BO ROBOT VÀNG"
"TID_BO_MECHA_GOLD_SKIN_SHOP","BO\nROBOT VÀNG"
"TID_CROW_MECHA_GOLD_SKIN","QUẠ ROBOT VÀNG"
"TID_CROW_MECHA_GOLD_SKIN_SHOP","QUẠ\nROBOT VÀNG"
"TID_BO_MECHA_LIGHT_SKIN","BO ROBOT ÁNH SÁNG"
"TID_BO_MECHA_LIGHT_SKIN_SHOP","BO\nROBOT ÁNH SÁNG"
"TID_CROW_MECHA_NIGHT_SKIN","QUẠ ROBOT BÓNG TỐI"
"TID_CROW_MECHA_NIGHT_SKIN_SHOP","QUẠ\nROBOT BÓNG TỐI"
"TID_BULL_LINEBACKER_SKIN","BULL HẬU VỆ"
"TID_BULL_LINEBACKER_SKIN_SHOP","BULL\nHẬU VỆ"
"TID_COLT_OUTLAW_SKIN","COLT GIANG HỒ"
"TID_COLT_OUTLAW_SKIN_SHOP","COLT\nGIANG HỒ"
"TID_CARL_HOG_RIDER_SKIN","CARL TRƯ KỴ SĨ"
"TID_CARL_HOG_RIDER_SKIN_SHOP","CARL\nTRƯ KỴ SĨ"
"TID_SKIN_INFO_ANIM_SOUND_FX_VOICE","- Thiết kế C.binh Brawl đặc biệt\n- Hiệu ứng đặc biệt\n- Hoạt cảnh đặc biệt\n- Âm thanh đặc biệt\n- Câu thoại đặc biệt"
"TID_SHOP_OFFER_STAR_SKIN_LABEL","TRANG PHỤC SAO"
"TID_WANTED_15","Săn sao trên bờ biển"
"TID_WANTED_16","Sốc nhiệt"
"TID_WANTED_17","Biển cát Nảy lửa"
"TID_BANKHEIST_16","Dạo chơi Bờ biển"
"TID_BANKHEIST_17","Ngọc trong cát"
"TID_BANKHEIST_18","Khoai tây nóng hổi"
"TID_BANKHEIST_18B","Vòng số 8"
"TID_BALL_22","Bóng bãi biển"
"TID_BALL_23","Bóng đá Ánh dương"
"TID_BALL_24","Chân trần Chiến đấu"
"TID_BALL_25","Vui chơi mùa Hè"
"TID_STARPOINTSGAINED","<TOTALDECAY> Cúp đã được chuyển đổi thành <STARPOINTSGAINED> Điểm Sao"
"TID_TROPHIES_LOST","Tổng số cúp đã mất: <AMOUNT>"
"TID_TROPHIES_CONVERTED","Số cúp đã mất chuyển thành: <AMOUNT> Điểm Sao"
"TID_IAP_SOM_PACK_1","Ưu đãi mùa Hè"
"TID_IAP_SOM_PACK_2","Ưu đãi mùa Hè"
"TID_IAP_SOM_PACK_3","Ưu đãi mùa Hè"
"TID_IAP_SOM_PACK_4","Ưu đãi mùa Hè"
"TID_IAP_AUGUST_PACK_1","Ưu đãi mùa Hè"
"TID_IAP_AUGUST_PACK_2","TẠM BIỆT MÙA HÈ!"
"TID_IAP_FLASH_PACK_1","THÊM MỘT CHÚT"
"TID_IAP_FLASH_PACK_2","GIÁ TRỊ LỚN"
"TID_IAP_MOON_19_PACK_1","TẾT TRUNG THU"
"TID_IAP_MOON_19_PACK_2","TẾT TRUNG THU"
"TID_SPEC_ABI_RESURRECT","1-Up"
"TID_SPEC_ABI_RESURRECT_DESC","Khi bị hạ gục lần đầu tiên trong trận đấu, 8-BIT sẽ hồi sinh ngay tức khắc."
"TID_SPEC_ABI_GROW_FROM_DAMAGE","Mau ăn Chóng lớn"
"TID_SPEC_ABI_GROW_FROM_DAMAGE_DESC","Khi tích Tuyệt chiêu, El Primo cũng sẽ tích thanh Tăng trưởng. Khi thanh Tăng trưởng đầy, máu tối đa sẽ được tăng <c00cc00><VALUE1></c>. Số máu được tăng sẽ mất khi El Primo bị hạ gục."
"TID_SPEC_ABI_ARMOR","Áo chống đạn"
"TID_SPEC_ABI_ARMOR_DESC","Áo chống đạn sẽ hấp thụ <c00cc00><VALUE1></c> sát thương đầu tiên. Khi bị hạ gục, Colt sẽ được nhận áo chống đạn mới. Độ bền của áo được thể hiện bằng thanh màu vàng."
"TID_SPEC_ABI_WALKING_TURRET","Dắt cún đi dạo"
"TID_SPEC_ABI_WALKING_TURRET_DESC","Trụ súng dã chiến nay sẽ theo chân Jessie."
"TID_SPEC_SHIELD_ULTI","Khiên chắn"
"TID_SPEC_SHIELD_ULTI_DESC","Khi tích đầy Tuyệt chiêu (mà không sử dụng), Brock sẽ nhận được một khiên chắn để giảm <c00cc00><VALUE1>%</c> tất cả sát thương nhận vào."
"TID_SPEC_ABI_PET","Thả chim"
"TID_SPEC_ABI_PET_DESC","Chú chim của Dynamike tham chiến!"
"TID_SPEC_ABI_DAMAGE_ULTI","Tán hồn Chưởng"
"TID_SPEC_ABI_DAMAGE_ULTI_DESC","Khi đã tích đầy Tuyệt chiêu thì sát thương tấn công của Thần Đèn sẽ tăng <c00cc00>+<VALUE1></c>."
"TID_ARCADE","8-BIT"
"TID_ARCADE_DESC","8-BIT là thùng máy điện tử thẻ biết đi nhưng rất chậm chạp. 8-BIT bắn Tia laze và sở hữu Tuyệt chiêu cường hóa sát thương cho phe mình!"
"TID_ARCADE_SHORT_DESC","XẠ THỦ"
"TID_ARCADE_WEAPON","Tia laze"
"TID_ARCADE_ULTI","Bộ tăng cường Sát thương"
"TID_ARCADE_WEAPON_DESC","Bắn ra một chùm Tia laze gây sát thương lên mọi đối thủ. Chùm tia này sẽ hơi tỏa một chút và có tầm bay trung bình."
"TID_ARCADE_ULTI_DESC","Dựng một trụ súng giúp cường hóa thương cho tất cả Chiến binh Brawl phe mình ở gần đó."
"TID_STAT_DAMAGE_BOOST","Cường hóa Sát thương"
"TID_HERO_INFO_ABILITY_POWER_PERCENT","<BASEPOW>%"
"TID_STAT_DAMAGE_PER_BEAM","Sát thương mỗi tia"
"TID_SPEC_ABI_LARGER_AREA_ULTI","Cường hóa Bộ tăng cường"
"TID_SPEC_ABI_LARGER_AREA_ULTI_DESC","Phạm vi của Bộ tăng cường Sát thương tăng thêm <c00cc00><VALUE1>%</c>."
"TID_DAMAGE_BOOSTER_HEALTH","Máu Bộ tăng cường Sát thương"
"TID_BEST_VALUE_DISCOUNT","GIẢM GIÁ\n<VALUE>%!"
"TID_BEST_VALUE_EXTRA","THÊM\n<VALUE>%"
"TID_BEST_VALUE_BONUS","THƯỞNG\n<VALUE>%"
"TID_PROMOCODE_PACK","Gói Mã Khuyến mãi"
"TID_DIAMONDS","Ngọc"
"TID_BATTLE_ROYALE_22A","Đỉnh Hoang phế"
"TID_BATTLE_ROYALE_23A","Vùng xa Ác liệt"
"TID_BATTLE_ROYALE_24A","Mảnh đất Cằn cỗi"
"TID_GOLDRUSH_24A","Thùng phá sảnh"
"TID_WANTED_17A","Ốc đảo Um tùm"
"TID_BALL_14A","Sút bóng Ghi bàn"
"TID_BALL_15A","Chạy nước rút"
"TID_SHOP_LABEL_BEST_VALUE","TIẾT KIỆM NHẤT"
"TID_SHOP_LABEL_MOST_POPULAR","PHỔ BIẾN NHẤT"
"TID_SHOP_LABEL_POPULAR","PHỔ BIẾN"
"TID_SHOP_LABEL_PERCENT_BONUS","THƯỞNG <VALUE>%"
"TID_SHOP_LABEL_PERCENT_EXTRA","<cFFDB4F>THÊM</c> <VALUE>%"
"TID_BATTLE_ROYALE_25A","Miền đất Sinh tồn"
"TID_BATTLE_ROYALE_26A","Nóng lắm luôn!"
"TID_BATTLE_ROYALE_27A","Song cước Truy phong"
"TID_BATTLE_ROYALE_28A","Bữa tiệc Đố kỵ"
"TID_PIPER_PINK_SKIN","PIPER HỒNG"
"TID_PIPER_PINK_SKIN_SHOP","PIPER\nHỒNG"
"TID_TARA_BLUE_SKIN","TARA DIÊN VĨ"
"TID_TARA_BLUE_SKIN_SHOP","TARA\nDIÊN VĨ"
"TID_8BIT_CLASSIC_SKIN","8-BIT KINH ĐIỂN"
"TID_8BIT_CLASSIC_SKIN_SHOP","8-BIT\nKINH ĐIỂN"
"TID_LEON_SHARK_SKIN","LEON CÁ MẬP"
"TID_LEON_SHARK_SKIN_SHOP","LEON\nCÁ MẬP"
"TID_BATTLE_ROYALE_29A","Thiên đàng Hiểm họa"
"TID_BATTLE_ROYALE_30A","Vượt mốc Đỉnh điểm"
"TID_BATTLE_ROYALE_31A","Trải đều"
"TID_BALL_16A","Mùa trượt tuyết"
"TID_BALL_17A","Lối đi gồ ghề"
"TID_BALL_18A","Sút tổng lực"
"TID_BALL_19A","Bóng bổng"
"TID_BALL_20A","Cú sút Tia chớp"
"TID_IAP_INFO_MORE_INFO_BTN","자세히보기"
"TID_SANDSTORM","SANDY"
"TID_GAME_MODE_14","HẠ GỤC"
"TID_GAME_MODE_14_DESC","Hãy gây sát thương lên Trùm nhiều hơn so với những người chơi khác. Càng gây nhiều sát thương thì thứ hạng của bạn trong trận chiến sẽ càng cao.\n\nThu thập Khối Sức mạnh để gia tăng Máu và Sát thương Tấn công của mình. Các Khối Sức mạnh sẽ xuất hiện ngẫu nhiên trên bản đồ trong suốt trận chiến!"
"TID_BOSS_RACE_INTRO_TEXT","Gây sát thương lên tên Trùm càng nhiều càng tốt!"
"TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL","Tất cả vs Tất cả"
"TID_BOSS_RACE_1","Chốt cuối"
"TID_BOSS_RACE_IN_LEAD","Bạn đang dẫn đầu!"
"TID_BOSS_RACE_DOING_GOOD","Giữ vững phong độ nhé!"
"TID_BOSS_RACE_DOING_OK","Bạn đang làm tốt lắm"
"TID_BOSS_RACE_DOING_BAD","Gây thêm sát thương lên tên Trùm!"
"TID_SHOP_SCID_SKIN_OFFER_TITLE","KẾT NỐI VỚI SUPERCELL ID ĐỂ NHẬN <NAME> <c<COLOR>> MIỄN PHÍ</c>!"
"TID_SHOP_SCID_SKIN_OFFER_DESC","SUPERCELL ID"
"TID_SHOP_SCID_SKIN_OFFER_CLAIM","KẾT NỐI"
"TID_GAME_MODE_15","NGÔI SAO CÔ ĐƠN"
"TID_GAME_MODE_15_DESC","Thu thập Sao bằng cách hạ gục các đối thủ. Mỗi khi bạn tiêu diệt một đối thủ, giá trị thưởng trên đầu bạn sẽ tăng thêm một Sao, tối đa là bảy Sao.\n\nAi có nhiều Sao nhất khi đồng hồ báo hết giờ sẽ chiến thắng."
"TID_SOLO_BOUNTY_IN_LEAD","Bạn đang dẫn đầu!"
"TID_SOLO_BOUNTY_DOING_GOOD","Giữ vững phong độ nhé!"
"TID_SOLO_BOUNTY_DOING_OK","Bạn đang làm tốt lắm"
"TID_SOLO_BOUNTY_DOING_BAD","Bạn cần thêm Sao!"
"TID_SANDSTORM_SHORT_DESC","CHIẾN BINH HỖ TRỢ"
"TID_SANDSTORM_DESC","Sandy là Chiến binh Brawl luôn trong tình trạng thiếu ngủ. Cậu ta có khả năng điều khiển cát điêu luyện: ném một nắm sỏi sắc lẹm để tấn công đối thủ, và triệu hồi một cơn bão cát để đồng đội ẩn nấp trong đó."
"TID_SANDSTORM_WEAPON","NÉM SỎI"
"TID_SANDSTORM_WEAPON_DESC","Sandy ném thật mạnh một nắm sỏi sắc lẹm về phía đối thủ. Đau lắm đấy!"
"TID_SANDSTORM_ULTI","BÃO CÁT"
"TID_SANDSTORM_ULTI_DESC","Sandy triệu hồi một cơn bão cát kéo dài <time> giây để đồng đội ẩn nấp trong đó."
"TID_STAT_SANDSTORM","BÃO CÁT"
"TID_SPEC_ABI_SANDSTORM_DOT","Cát Dữ dội"
"TID_SPEC_ABI_SANDSTORM_DOT_DESC","Cơn bão cát giờ đây cũng sẽ gây <c00cc00><VALUE1></c> sát thương mỗi giây lên đối thủ."
"TID_SPEC_ABI_SANDSTORM_HOT","Làn gió Trị thương"
"TID_SPEC_ABI_SANDSTORM_HOT_DESC","Cơn bão cát giờ đây cũng sẽ hồi phục <c00cc00><VALUE1></c> máu mỗi giây cho đồng đội."
"TID_SHOP_SKIN_SALE","GIẢM GIÁ TRANG PHỤC"
"TID_IAP_B2S_19_PACK_1","GÓI KHAI GIẢNG!"
"TID_IAP_B2S_19_PACK_2","GÓI KHAI GIẢNG!"
"TID_IAP_B2S_19_PACK_3","GÓI KHAI GIẢNG!"
"TID_GENE_PIRATE_SKIN","THẦN ĐÈN CƯỚP BIỂN"
"TID_GENE_PIRATE_SKIN_SHOP","THẦN ĐÈN\nCƯỚP BIỂN"
"TID_BARLEY_RED_WIZARD_SKIN","BARLEY PHÁP SƯ ĐỎ"
"TID_BARLEY_RED_WIZARD_SKIN_SHOP","BARLEY\nPHÁP SƯ ĐỎ"
"TID_SANDY_SLEEPY_SKIN","SANDY BUỒN NGỦ"
"TID_SANDY_SLEEPY_SKIN_SHOP","SANDY\nBUỒN NGỦ"
"TID_BOSS_RACE_2","Diệt Trùm"
"TID_BOSS_RACE_3","Bạn hay Thù"
"TID_BOSS_RACE_4","Mục tiêu Lực lưỡng"
"TID_BOSS_RACE_5","Huấn luyện Cấp tốc"
"TID_BOSS_RACE_6","Mê cung Bát nháo"
"TID_BOSS_RACE_7","Mê cung Rối rắm"
"TID_SHOP_SKIN_NEW_RELEASE","TRANG PHỤC MỚI"
"TID_SEASON_END_OFFER","ƯU ĐÃI KẾT THÚC MÙA GIẢI"
"TID_IAP_OCTOBER_OFFER","ƯU ĐÃI THÁNG 10"
"TID_IAP_MONDAY_OFFER","THỨ HAI, THỨ HAI..."
"TID_IAP_VERY_SPECIAL_OFFER","ƯU ĐÃI CỰC ĐẶC BIỆT"
"TID_IAP_IKE_ROYALE","IKE HOÀNG GIA"
"TID_IAP_COIN_SHOWER","CƠN MƯA XU"
"TID_MUMMY","EMZ"
"TID_ADDITIONAL_GEM_TOOLTIP_FOR_JAPAN","\n\nNgọc đã mua: <PAID>\nNgọc miễn phí: <FREE>\nTổng cộng: <TOTAL>"
"TID_RANK","Hạng: <val> / 10"
"TID_SOLO_BOUNTY_NO_RANK","Đánh bại Chiến binh Brawl để kiếm sao!"
"TID_BOSS_RACE_NO_RANK","Gây sát thương lên tên Trùm!"
"TID_MUMMY_SHORT_DESC","CHIẾN BINH"
"TID_MUMMY_DESC","Emz dùng keo xịt tóc để gây sát thương theo thời gian, và Tuyệt chiêu của cô sẽ khiến đối thủ di chuyển chậm lại."
"TID_MUMMY_WEAPON","BÌNH XỊT"
"TID_MUMMY_WEAPON_DESC","Emz dùng bình xịt ra một loại keo xịt tóc nồng nặc đến nỗi khiến bạn rụng rời luôn!"
"TID_MUMMY_ULTI","CHANH SẢ"
"TID_MUMMY_ULTI_DESC","Emz tạo ra một màn keo xịt tóc xung quanh mình để làm chậm và gây sát thương cho đối thủ."
"TID_STAT_MUMMY","Emz"
"TID_SPEC_ABI_TICK_DMG_GROW","Vận Đen"
"TID_SPEC_ABI_TICK_DMG_GROW_DESC","Những đối thủ đứng trong màn keo xịt tóc của Emz phải chịu sát thương tăng thêm <c00cc00><VALUE1></c>% sau mỗi lần trúng đòn."
"TID_SPEC_ABI_HEAL_SUPER_DMG","Hãy trao cho Emz"
"TID_SPEC_ABI_HEAL_SUPER_DMG_DESC","Emz sẽ hồi phục <c00cc00><VALUE1></c> máu/giây với mỗi chiến binh Brawl đối thủ đứng trong phạm vi Tuyệt chiêu của cô."
"TID_FRIEND_ADD_YOUR_ID","ID của bạn: <ID>"
"TID_FRIEND_ADD_BUTTON","THÊM\nBẠN"
"TID_FRIEND_ADD_BUTTON_SHORT","THÊM"
"TID_FRIEND_ADD_DEFAULT_TEXT","Nhập ID người chơi"
"TID_FRIEND_ADD_CODE_SENT","Đã gửi yêu cầu kết bạn"
"TID_FRIEND_ADD_CODE_INVALID","ID người chơi không đúng!"
"TID_IAP_CYBER_WEEK_19_1","ƯU ĐÃI TUẦN CYBER"
"TID_IAP_CYBER_WEEK_19_2","ƯU ĐÃI TUẦN CYBER"
"TID_IAP_CYBER_WEEK_19_3","ƯU ĐÃI TUẦN CYBER"
"TID_IAP_GSTAR2019_FINALS","GÓI CHUNG KẾT THẾ GIỚI"
"TID_IAP_BRAWLOWEEN_19_1","HALLOWEEN ĐÃ ĐẾN VỚI BRAWL STARS!"
"TID_IAP_BRAWLOWEEN_19_2","CHO XU HAY... BỊ HÙ?"
"TID_IAP_BRAWLOWEEN_19_3","TẤT CẢ TRANG PHỤC!"
"TID_IAP_ARABIC_19_1","CHƠI BẰNG TIẾNG Ả RẬP"
"TID_IAP_ARABIC_19_2","CHƠI BẰNG TIẾNG Ả RẬP"
"TID_EVENT_MODIFIER_8","TRÙM LAZE"
"TID_EVENT_MODIFIER_DESC_8","Trùm bắn tia laze."
"TID_EVENT_MODIFIER_9","TRÙM SẤM SÉT"
"TID_EVENT_MODIFIER_DESC_9","Trùm bắn ra sấm sét."
"TID_EVENT_MODIFIER_10","TRÙM TÊN LỬA"
"TID_EVENT_MODIFIER_DESC_10","Trùm bắn ra tên lửa."
"TID_STAT_DAMAGE_PER_HALF_SECOND","Sát thương mỗi nửa giây"
"TID_FRIENDS_PAGE_BUTTON_INVITE","MỜI"
"TID_TEAM_ROOM_CODE","Mã đội:"
"TID_TEAM_ROOM_CODE_SHORT","ĐỘI:\n<NUM>"
"TID_FRIENDS_PAGE_SOCIAL_NETWORKS","MẠNG XÃ HỘI"
"TID_CLAN_TAB_MEMBERS","<NUM>/<TOTAL> thành viên"
"TID_CLAN_TAB_CHAT","Trò chuyện"
"TID_SHELLY_WITCH_SKIN","SHELLY PHÙ THỦY"
"TID_SHELLY_WITCH_SKIN_SHOP","SHELLY\nPHÙ THỦY"
"TID_LEON_WEREWOLF_SKIN","LEON MA SÓI"
