"TID","PL"
"TID_SPEC_ABI_RECHARGE","Automatyczne przeładowanie"
"TID_SPEC_ABI_RECHARGE_DESC","Czas przeładowania Ticka jest teraz o <c00cc00><VALUE1>%</c> krótszy."
"TID_SPEC_ABI_CURVEBALL","Podkręcona piłka"
"TID_SPEC_ABI_CURVEBALL_DESC","Kolce z kaktusowego granatu lecą po łuku, przez co łatwiej trafiają w cel."
"TID_SPEC_ABI_MEDIKIT","Plaster"
"TID_SPEC_ABI_MEDIKIT_DESC","Jeśli punkty życia Shelly spadną poniżej <c00cc00><VALUE1>%</c>, natychmiast odzyska ona <c00cc00><VALUE2></c> pkt. zdrowia. Plaster ładuje się w <c00cc00><VALUE3></c>s."
"TID_SPEC_ABI_IMMUNE_TO_CC","Piaskowiec"
"TID_SPEC_ABI_IMMUNE_TO_CC_DESC","Sandy jest teraz odporny na odpychanie, spowalnianie i ogłuszanie."
"TID_SPEC_ABI_CURE_DEBUFFS","Muzyczne oczyszczenie"
"TID_SPEC_ABI_CURE_DEBUFFS_DESC","Ataki Poco usuwają efekty spowolnienia, ogłuszenia, zatrucia i oparzenia dla członków drużyny, w których trafią."
"TID_SPEC_ABI_SHIELD_HOMERUN","Pozycja obronna"
"TID_SPEC_ABI_SHIELD_HOMERUN_DESC","Jeśli pasek Turbo Bibi jest w pełni naładowany, wszelkie doznawane przez nią obrażenia są mniejsze o <c00cc00><VALUE1>%</c>."
"TID_SPEC_ABI_WHIRLWIND_SHIELD","Piruet ochronny"
"TID_SPEC_ABI_WHIRLWIND_SHIELD_DESC","Podczas superataku Carla wszelkie doznawane przez niego obrażenia są mniejsze o <c00cc00><VALUE2>%</c>."
"TID_SELFHELP_UNAVAILABLE","Pomoc i wsparcie są teraz niedostępne. Spróbuj ponownie później."
"TID_SPEC_ABI_LONGER_DASH","Zwinięty wąż"
"TID_SPEC_ABI_LONGER_DASH_DESC","Mortis zyskuje pasek sprintu! Gdy jest on pełny, zasięg sprintu zwiększa się o <c00cc00><VALUE1>%</c>. Po wykonaniu trzech sprintów potrzeba <c00cc00><VALUE3></c> sekund, aby pasek się naładował."
"TID_BO_MECHA_SKIN","MECHA BO"
"TID_BO_MECHA_SKIN_SHOP","MECHA\nBO"
"TID_CROW_MECHA_SKIN","MECHA KRUK"
"TID_CROW_MECHA_SKIN_SHOP","MECHA\nKRUK"
"TID_MIKE_ROBO_SKIN","ROBOT MIKE"
"TID_MIKE_ROBO_SKIN_SHOP","ROBOT\nMIKE"
"TID_SPIKE_ROBO_SKIN","ROBOT SPIKE"
"TID_SPIKE_ROBO_SKIN_SHOP","ROBOT\nSPIKE"
"TID_BO_MECHA_GOLD_SKIN","ZŁOTY MECHA BO"
"TID_BO_MECHA_GOLD_SKIN_SHOP","ZŁOTY MECHA\nBO"
"TID_CROW_MECHA_GOLD_SKIN","ZŁOTY MECHA KRUK"
"TID_CROW_MECHA_GOLD_SKIN_SHOP","ZŁOTY MECHA\nKRUK"
"TID_BO_MECHA_LIGHT_SKIN","JASNY MECHA BO"
"TID_BO_MECHA_LIGHT_SKIN_SHOP","JASNY MECHA\nBO"
"TID_CROW_MECHA_NIGHT_SKIN","NOCNY MECHA KRUK"
"TID_CROW_MECHA_NIGHT_SKIN_SHOP","NOCNY MECHA\nKRUK"
"TID_BULL_LINEBACKER_SKIN","POMOCNIK BULL"
"TID_BULL_LINEBACKER_SKIN_SHOP","POMOCNIK\nBULL"
"TID_COLT_OUTLAW_SKIN","BANITA COLT"
"TID_COLT_OUTLAW_SKIN_SHOP","BANITA\nCOLT"
"TID_CARL_HOG_RIDER_SKIN","CARL WIEPRZOWY JEŹDZIEC"
"TID_CARL_HOG_RIDER_SKIN_SHOP","CARL\nWIEPRZOWY JEŹDZIEC"
"TID_SKIN_INFO_ANIM_SOUND_FX_VOICE","- Specjalny model Zadymiarza\n- Specjalne efekty\n- Specjalne animacje\n- Specjalne dźwięki\n- Specjalny głos"
"TID_SHOP_OFFER_STAR_SKIN_LABEL","GWIEZDNE PRZEBRANIE"
"TID_WANTED_15","Plażowa nagroda"
"TID_WANTED_16","Udar słoneczny"
"TID_WANTED_17","Rozpalone piaski"
"TID_BANKHEIST_16","Plażowi zbieracze"
"TID_BANKHEIST_17","Piaskowe klejnoty"
"TID_BANKHEIST_18","Gorący ziemniak"
"TID_BANKHEIST_18B","Rysunek 8"
"TID_BALL_22","Piłka plażowa"
"TID_BALL_23","Plażowy futbol"
"TID_BALL_24","Zadyma na bosaka"
"TID_BALL_25","Letnia zabawa"
"TID_STARPOINTSGAINED","<TOTALDECAY> pucharów zamieniono na <STARPOINTSGAINED> gwiezdnych punktów"
"TID_TROPHIES_LOST","Utracone puchary łącznie: <AMOUNT>"
"TID_TROPHIES_CONVERTED","Utracone puchary zamieniono na: <AMOUNT> gwiezdnych punktów"
"TID_IAP_SOM_PACK_1","LETNIA OFERTA"
"TID_IAP_SOM_PACK_2","LETNIA OFERTA"
"TID_IAP_SOM_PACK_3","LETNIA OFERTA"
"TID_IAP_SOM_PACK_4","LETNIA OFERTA"
"TID_IAP_AUGUST_PACK_1","LETNIA OFERTA"
"TID_IAP_AUGUST_PACK_2","ŻEGNAMY LATO!"
"TID_IAP_FLASH_PACK_1","COŚ EKSTRA"
"TID_IAP_FLASH_PACK_2","WIELKA WARTOŚĆ"
"TID_IAP_MOON_19_PACK_1","ŚWIĘTO JESIENI"
"TID_IAP_MOON_19_PACK_2","ŚWIĘTO JESIENI"
"TID_SPEC_ABI_RESURRECT","Dodatkowe życie"
"TID_SPEC_ABI_RESURRECT_DESC","Gdy 8-Bitowiec zostaje pokonany po raz pierwszy w trakcie meczu, natychmiast zmartwychwstaje."
"TID_SPEC_ABI_GROW_FROM_DAMAGE","Rośnij w siłę"
"TID_SPEC_ABI_GROW_FROM_DAMAGE_DESC","Kiedy El Primo ładuje swój superatak, jednocześnie ładowany jest jego pasek wzrostu. Kiedy pasek wzrostu jest pełen, jego maksymalny poziom zdrowia rośnie o <c00cc00><VALUE1></c>. Jeśli El Primo zostanie pokonany, straci tę premię."
"TID_SPEC_ABI_ARMOR","Kamizelka kuloodporna"
"TID_SPEC_ABI_ARMOR_DESC","Kamizelka pochłania pierwsze <c00cc00><VALUE1></c> obrażeń. Kiedy Colt zostanie pokonany, otrzyma nową kamizelkę. Wytrzymałość kamizelki wskazuje żółty pasek."
"TID_SPEC_ABI_WALKING_TURRET","Spacer z psem"
"TID_SPEC_ABI_WALKING_TURRET_DESC","Złomek podąża teraz za Jessie."
"TID_SPEC_SHIELD_ULTI","Tarcza"
"TID_SPEC_SHIELD_ULTI_DESC","Kiedy superatak Brocka jest w pełni naładowany (a nie zostanie użyty), Brock zyskuje tarczę, która pochłania <c00cc00><VALUE1>%</c> zadawanych mu obrażeń."
"TID_SPEC_ABI_PET","Tu wyleci ptaszek"
"TID_SPEC_ABI_PET_DESC","Ptak Dynamike´a wkracza do akcji!"
"TID_SPEC_ABI_DAMAGE_ULTI","Hart ducha"
"TID_SPEC_ABI_DAMAGE_ULTI_DESC","Gdy jego superatak jest w pełni naładowany, Gene zadaje <c00cc00>+<VALUE1></c> pkt obrażeń."
"TID_ARCADE","8-BITOWIEC"
"TID_ARCADE_DESC","8-Bitowiec dominuje na polu walki niczym chodząca maszyna z salonu gier. Strzela z lasera, a jego superatak podbija obrażenia sojuszników!"
"TID_ARCADE_SHORT_DESC","STRZELEC"
"TID_ARCADE_WEAPON","LASER"
"TID_ARCADE_ULTI","WZMACNIACZ OBRAŻEŃ"
"TID_ARCADE_WEAPON_DESC","Wypuszcza wiązkę laserową, która razi każdego trafionego wroga. Wiązka ma średni zasięg i lekki rozrzut."
"TID_ARCADE_ULTI_DESC","Stawia wieżyczkę, która powiększa obrażenia zadawane przez wszystkich sojuszniczych Zadymiarzy w promieniu działania."
"TID_STAT_DAMAGE_BOOST","Wzmacnianie obrażeń"
"TID_HERO_INFO_ABILITY_POWER_PERCENT","<BASEPOW>%"
"TID_STAT_DAMAGE_PER_BEAM","Obrażenia na wiązkę"
"TID_SPEC_ABI_LARGER_AREA_ULTI","Wzmocniony wzmacniacz"
"TID_SPEC_ABI_LARGER_AREA_ULTI_DESC","Zwiększa zasięg Wzmacniacza obrażeń o <c00cc00><VALUE1>%</c>."
"TID_DAMAGE_BOOSTER_HEALTH","PŻ wzmacniacza obrażeń"
"TID_BEST_VALUE_DISCOUNT","<VALUE>%\nTANIEJ!"
"TID_BEST_VALUE_EXTRA","<VALUE>%\nEKSTRA"
"TID_BEST_VALUE_BONUS","<VALUE>%\nBONUSU"
"TID_PROMOCODE_PACK","Pakiet kodów promocyjnych"
"TID_DIAMONDS","Klejnoty"
"TID_BATTLE_ROYALE_22A","Samotny wierzchołek"
"TID_BATTLE_ROYALE_23A","Niewąski gąszcz"
"TID_BATTLE_ROYALE_24A","Jałowe pustkowia"
"TID_GOLDRUSH_24A","Królewska łaźnia"
"TID_WANTED_17A","Przerośnięta oaza"
"TID_BALL_14A","Rzut z gry"
"TID_BALL_15A","Wielki pośpiech"
"TID_SHOP_LABEL_BEST_VALUE","NAJKORZYSTNIEJSZE"
"TID_SHOP_LABEL_MOST_POPULAR","NAJPOPULARNIEJSZE"
"TID_SHOP_LABEL_POPULAR","POPULARNE"
"TID_SHOP_LABEL_PERCENT_BONUS","<VALUE>% BONUS"
"TID_SHOP_LABEL_PERCENT_EXTRA","<VALUE>% <cFFDB4F>EKSTRA</c>"
"TID_BATTLE_ROYALE_25A","Walka o przetrwanie"
"TID_BATTLE_ROYALE_26A","Wysokie stężenie ołowiu"
"TID_BATTLE_ROYALE_27A","Dropkick"
"TID_BATTLE_ROYALE_28A","Gastro-gul"
"TID_PIPER_PINK_SKIN","RÓŻOWA PIPER"
"TID_PIPER_PINK_SKIN_SHOP","RÓŻOWA\nPIPER"
"TID_TARA_BLUE_SKIN","BŁĘKITNA TARA"
"TID_TARA_BLUE_SKIN_SHOP","BŁĘKITNA\nTARA"
"TID_8BIT_CLASSIC_SKIN","8-BITOWIEC KLASYCZNY"
"TID_8BIT_CLASSIC_SKIN_SHOP","8-BITOWIEC\nKLASYCZNY"
"TID_LEON_SHARK_SKIN","REKIN LEON"
"TID_LEON_SHARK_SKIN_SHOP","REKIN\nLEON"
"TID_BATTLE_ROYALE_29A","Niebezpieczny raj"
"TID_BATTLE_ROYALE_30A","Ryzykowne przejście"
"TID_BATTLE_ROYALE_31A","Równomierne rozłożenie"
"TID_BALL_16A","Wielki slalom"
"TID_BALL_17A","Trudna trasa"
"TID_BALL_18A","Potężny strzał"
"TID_BALL_19A","Flyball"
"TID_BALL_20A","Efektowny wykop"
"TID_IAP_INFO_MORE_INFO_BTN","자세히보기"
"TID_SANDSTORM","SANDY"
"TID_GAME_MODE_14","ELIMINACJA"
"TID_GAME_MODE_14_DESC","Zadaj bossowi więcej obrażeń niż pozostali gracze. Im więcej zadasz obrażeń, tym wyżej uplasujesz się w meczu.\n\nZbieraj kostki mocy, aby zwiększać swój poziom zdrowia i zadawanych obrażeń. Kostki mocy będą pojawiać się w losowych punktach mapy podczas bitwy!"
"TID_BOSS_RACE_INTRO_TEXT","Zadaj bossowi jak najwięcej obrażeń!"
"TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL","Każdy kontra każdy"
"TID_BOSS_RACE_1","Ostatni żywy"
"TID_BOSS_RACE_IN_LEAD","Jesteś na czele!"
"TID_BOSS_RACE_DOING_GOOD","Tak trzymaj!"
"TID_BOSS_RACE_DOING_OK","Dajesz radę"
"TID_BOSS_RACE_DOING_BAD","Więcej obrażeń bossowi!"
"TID_SHOP_SCID_SKIN_OFFER_TITLE","POŁĄCZ Z SUPERCELL ID A <NAME> TRAFI DO CIEBIE <c<COLOR>>ZA DARMO</c>!"
"TID_SHOP_SCID_SKIN_OFFER_DESC","SUPERCELL ID"
"TID_SHOP_SCID_SKIN_OFFER_CLAIM","POŁĄCZ"
"TID_GAME_MODE_15","SAMOTNA GWIAZDA"
"TID_GAME_MODE_15_DESC","Zbieraj gwiazdki, pokonując innych graczy. Za każdym razem gdy pokonasz wroga, wyznaczona za ciebie nagroda zwiększy się o jedną gwiazdkę (maks. do siedmiu gwiazdek).\n\nKto na koniec zbierze najwięcej gwiazdek, wygrywa!"
"TID_SOLO_BOUNTY_IN_LEAD","Jesteś na czele!"
"TID_SOLO_BOUNTY_DOING_GOOD","Tak trzymaj!"
"TID_SOLO_BOUNTY_DOING_OK","Dajesz radę"
"TID_SOLO_BOUNTY_DOING_BAD","Musisz mieć więcej gwiazdek!"
"TID_SANDSTORM_SHORT_DESC","WSPARCIE"
"TID_SANDSTORM_DESC","Sandy to Zadymiarz, któremu odebrano sen, ale za to dano władzę nad piaskiem: potrafi miotać we wrogów ostrym żwirem albo wzniecić burzę piaskową, by ukryć sojuszników."
"TID_SANDSTORM_WEAPON","ŻWIR W OCZY"
"TID_SANDSTORM_WEAPON_DESC","Sandy bombarduje wrogów za pomocą ostrych, przeszywających odłamków skalnych. Auu!"
"TID_SANDSTORM_ULTI","BURZA PIASKOWA"
"TID_SANDSTORM_ULTI_DESC","Sandy przywołuje burzę piaskową na <time> s i ukrywa w niej sprzymierzonych Zadymiarzy."
"TID_STAT_SANDSTORM","Burza piaskowa"
"TID_SPEC_ABI_SANDSTORM_DOT","Zabójcze piaski"
"TID_SPEC_ABI_SANDSTORM_DOT_DESC","Burza piaskowa zadaje teraz wrogom <c00cc00><VALUE1></c> pkt. obrażeń na sekundę."
"TID_SPEC_ABI_SANDSTORM_HOT","Kojące wiatry"
"TID_SPEC_ABI_SANDSTORM_HOT_DESC","Burza piaskowa leczy teraz przyjaznych Zadymiarzy, dodając im <c00cc00><VALUE1></c> pkt. zdrowia na sekundę."
"TID_SHOP_SKIN_SALE","WYPRZEDAŻ PRZEBRAŃ"
"TID_IAP_B2S_19_PACK_1","POWRÓT DO SZKOŁY!"
"TID_IAP_B2S_19_PACK_2","POWRÓT DO SZKOŁY!"
"TID_IAP_B2S_19_PACK_3","POWRÓT DO SZKOŁY!"
"TID_GENE_PIRATE_SKIN","GEN PIRACKI"
"TID_GENE_PIRATE_SKIN_SHOP","GEN\nPIRACKI"
"TID_BARLEY_RED_WIZARD_SKIN","CZERWONY CZARODZIEJ BARLEY"
"TID_BARLEY_RED_WIZARD_SKIN_SHOP","CZERWONY CZARODZIEJ\nBARLEY"
"TID_SANDY_SLEEPY_SKIN","SENNY SANDY"
"TID_SANDY_SLEEPY_SKIN_SHOP","SENNY\nSANDY"
"TID_BOSS_RACE_2","Desant bossa"
"TID_BOSS_RACE_3","Fałszywy przyjaciel"
"TID_BOSS_RACE_4","Nabieranie masy"
"TID_BOSS_RACE_5","Morderczy trening"
"TID_BOSS_RACE_6","Masakra w labiryncie"
"TID_BOSS_RACE_7","Głupkowata ustawka"
"TID_SHOP_SKIN_NEW_RELEASE","NOWA WERSJA!"
"TID_SEASON_END_OFFER","PROMOCJA NA KONIEC SEZONU"
"TID_IAP_OCTOBER_OFFER","PROMOCJA PAŹDZIERNIKOWA"
"TID_IAP_MONDAY_OFFER","PONIEDZIAŁEK..."
"TID_IAP_VERY_SPECIAL_OFFER","OFERTA BARDZO SPECJALNA"
"TID_IAP_IKE_ROYALE","IKE ROYALE"
"TID_IAP_COIN_SHOWER","DESZCZ MONET"
"TID_MUMMY","EMZ"
"TID_ADDITIONAL_GEM_TOOLTIP_FOR_JAPAN","\n\nPłatne klejnoty: <PAID>\nBezpłatne klejnoty: <FREE>\nSuma: <TOTAL>"
"TID_RANK","Pozycja: <val>/10"
"TID_SOLO_BOUNTY_NO_RANK","Pokonaj Zadymiarzy, aby zdobyć gwiazdki!"
"TID_BOSS_RACE_NO_RANK","Zadawaj obrażenia bossowi!"
"TID_MUMMY_SHORT_DESC","WOJOWNIK"
"TID_MUMMY_DESC","Emz atakuje sprejem do włosów, który zadaje obrażenia rozłożone w czasie, a także spowalnia przeciwników swoim superatakiem."
"TID_MUMMY_WEAPON","SPREJ"
"TID_MUMMY_WEAPON_DESC","Emz pryska sprejem do włosów! Jego moc potrafi zmyć skórę do białej kości."
"TID_MUMMY_ULTI","ŻRĄCA CHARYZMA"
"TID_MUMMY_ULTI_DESC","Emz rozpyla wokół siebie toksyczną chmurę, spowalniając przeciwników i zadając im obrażenia."
"TID_STAT_MUMMY","Emz"
"TID_SPEC_ABI_TICK_DMG_GROW","Zła karma"
"TID_SPEC_ABI_TICK_DMG_GROW_DESC","Przeciwnicy, którzy znajdą się w chmurze toksycznego spreju Emz, odnoszą zwiększone obrażenia, <c00cc00><VALUE1></c>% na każde trafienie."
"TID_SPEC_ABI_HEAL_SUPER_DMG","Rozgłos"
"TID_SPEC_ABI_HEAL_SUPER_DMG_DESC","Emz odzyskuje <c00cc00><VALUE1></c> PŻ na sekundę za każdego wroga, który znajduje się w polu działania jej superataku."
"TID_FRIEND_ADD_YOUR_ID","Twój ID: <ID>"
"TID_FRIEND_ADD_BUTTON","DODAJ\nZNAJOMEGO"
"TID_FRIEND_ADD_BUTTON_SHORT","DODAJ"
"TID_FRIEND_ADD_DEFAULT_TEXT","Podaj ID gracza"
"TID_FRIEND_ADD_CODE_SENT","Wysłano zaproszenie do znajomych"
"TID_FRIEND_ADD_CODE_INVALID","Nieprawidłowy ID gracza!"
"TID_IAP_CYBER_WEEK_19_1","OFERTA NA CYBER TYDZIEŃ"
"TID_IAP_CYBER_WEEK_19_2","OFERTA NA CYBER TYDZIEŃ"
"TID_IAP_CYBER_WEEK_19_3","OFERTA NA CYBER TYDZIEŃ"
"TID_IAP_GSTAR2019_FINALS","PAKIET NA ROZGRYWKI FINAŁOWE"
"TID_IAP_BRAWLOWEEN_19_1","MAMY BRAWL-O-WEEN!"
"TID_IAP_BRAWLOWEEN_19_2","PSIKUS ALBO... MONETY?"
"TID_IAP_BRAWLOWEEN_19_3","WSZYSTKIE PRZEBRANIA!"
"TID_IAP_ARABIC_19_1","GRAJ PO ARABSKU"
"TID_IAP_ARABIC_19_2","GRAJ PO ARABSKU"
"TID_EVENT_MODIFIER_8","LASERY BOSSA"
"TID_EVENT_MODIFIER_DESC_8","Boss strzela z laserów."
"TID_EVENT_MODIFIER_9","SERIA BŁYSKAWIC BOSSA"
"TID_EVENT_MODIFIER_DESC_9","Boss strzela serią błyskawic."
"TID_EVENT_MODIFIER_10","RAKIETY BOSSA"
"TID_EVENT_MODIFIER_DESC_10","Boss strzela rakietami."
"TID_STAT_DAMAGE_PER_HALF_SECOND","Obrażenia na pół sekundy"
"TID_FRIENDS_PAGE_BUTTON_INVITE","ZAPROŚ"
"TID_TEAM_ROOM_CODE","Kod drużyny:"
"TID_TEAM_ROOM_CODE_SHORT","DRUŻYNA:\n<NUM>"
"TID_FRIENDS_PAGE_SOCIAL_NETWORKS","SIECI SPOŁECZNOŚCIOWE"
"TID_CLAN_TAB_MEMBERS","Członkowie <NUM>/<TOTAL>"
"TID_CLAN_TAB_CHAT","Czat"
"TID_SHELLY_WITCH_SKIN","WIEDŹMA SHELLY"
"TID_SHELLY_WITCH_SKIN_SHOP","WIEDŹMA\nSHELLY"
"TID_LEON_WEREWOLF_SKIN","WILKOŁAK LEON"
"TID_LEON_WEREWOLF_SKIN_SHOP","WILKOŁAK\nLEON"
"TID_PIPER_CALAVERA_SKIN","CZASZKA PIPER"
"TID_PIPER_CALAVERA_SKIN_SHOP","CZASZKA\nPIPER"
"TID_FRANK_DJ_SKIN","DJ FRANK"
"TID_FRANK_DJ_SKIN_SHOP","DJ\nFRANK"
"TID_JESSIE_DARK_KNIGHT_SKIN","MROCZNY RYCERZ JESSIE"
"TID_JESSIE_DARK_KNIGHT_SKIN_SHOP","MROCZNY RYCERZ\nJESSIE"
"TID_SKIN_FEATURE_MODEL","- Specjalny model Zadymiarza"
"TID_SKIN_FEATURE_PET","- Specjalny model pupila"
"TID_SKIN_FEATURE_TURRET","- Specjalny model wieżyczki"
"TID_SKIN_FEATURE_VFX","- Specjalne efekty"
"TID_SKIN_FEATURE_ANIM","- Specjalne animacje"
"TID_SKIN_FEATURE_SFX","- Specjalne dźwięki"
"TID_SKIN_FEATURE_VOICE","- Specjalny głos"
"TID_SKIN_FEATURE_TEXTURE","- Specjalna tekstura"
"TID_SKIN_FEATURE_COLOR","- Specjalne kolory"
"TID_HINT_44","Podczas IGRZYSK MOCY łączenie graczy odbywa się na podstawie aktualnie posiadanych punktów w danym sezonie IGRZYSK."
"TID_OPTIONAL_OR","LUB"
"TID_LONESTAR_01","Zapomniany Wodospad"
"TID_LONESTAR_02","Rzewny strzał"
"TID_LONESTAR_03","Niezbyt bezpiecznie"
"TID_LONESTAR_04","Lans na wyrost"
"TID_LONESTAR_05","Kalafior"
"TID_LONESTAR_06","O mały włos"
"TID_LONESTAR_07","Wirujące solo"
"TID_LONESTAR_08","Skrzyżowanie"
"TID_BOSS_RACE_8","Kulminacja"
"TID_BOSS_RACE_9","Podstępny zamach"
"TID_BOSS_RACE_10","Złomowisko"
"TID_BOSS_RACE_11","Funky Punk"
"TID_BOSS_RACE_12","Stań w szranki"
"TID_BOSS_RACE_13","Aleja Aligatorów"
"TID_BOSS_RACE_14","Niezła jazda"
"TID_CONTACT_US_WELCOME_TEXT","No cześć"
"TID_TEAM_CHAT_POPUP_INVITE","ZAPROŚ"
"TID_IAPS_NOT_READY","Jeszcze nie załadowano ofert. Spróbuj ponownie później."
"TID_IAP_NOT_FOUND","Nie znaleziono produktu"
"TID_TEAM_LOG_TAB","DZIENNIK DRUŻYNY"
"TID_TEAM_LOG_TITLE","DZIENNIK DRUŻYNY"
"TID_LEON_SALLY_SKIN","SALLY LEON"
"TID_LEON_SALLY_SKIN_SHOP","SALLY\nLEON"
"TID_CARL_LEONARD_SKIN","LEONARD CARL"
"TID_CARL_LEONARD_SKIN_SHOP","LEONARD\nCARL"
"TID_EL_PRIMO_BROWN_SKIN","EL BROWN"
"TID_EL_PRIMO_BROWN_SKIN_SHOP","EL BROWN"
"TID_PLAYER_CTX_SEND_FRIEND_REQUEST","ZAPROŚ DO ZNAJOMYCH"
"TID_PLAYER_CTX_PROFILE","PROFIL"
"TID_PLAYER_CTX_KICK","WYRZUĆ"
"TID_EMOJIS_TITLE","EMOTKI"
"TID_SHOP_OFFER_TITLE_NEW_BRAWLER","NOWY ZADYMIARZ"
"TID_SHOP_OFFER_TITLE_NEW_SKIN","NOWE PRZEBRANIE"
"TID_SHOP_OFFER_TITLE_BRAWLIDAYS_GIFT","PREZENT NA ŚWIĘTA Z BRAWL STARS"
"TID_LONESTAR_09","Cztery rejony"
"TID_EXTRA_COPYRIGHT","BROWN & FRIENDS, informacja o prawach autorskich\n"
"TID_ESTIMATED_MAINENANCE_TIME","Szacunkowy czas<TIME>"
"TID_IAP_XMAS_19_0","MAGIA ŚWIĄT"
"TID_IAP_XMAS_19_1","WSZYSTKIEGO ZADYMIARSKIEGO"
"TID_IAP_XMAS_19_2","WSZYSTKIEGO ZADYMIARSKIEGO"
"TID_IAP_XMAS_19_3","WSZYSTKIEGO ZADYMIARSKIEGO"
"TID_IAP_XMAS_19_4","WSZYSTKIEGO ZADYMIARSKIEGO"
"TID_IAP_COINPACK_11_19","MONETY, MONETY, MONETY"
"TID_IAP_NEWYEAR_20","SZCZĘŚLIWEGO NOWEGO ROKU"
"TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE","Przebranie BROWN & FRIENDS."
"TID_HOME_PAGE_PENDING_DONATION","WAŻNA\nINFORMACJA"
"TID_SETTINGS_BLOCK_FRIEND_REQUESTS","BLOKUJ ZAPROSZENIA DO ZNAJOMYCH"
"TID_SPAWNER_DUDE","PAN P"
"TID_BEE_SNIPER","BEA"
"TID_BEE_SNIPER_SHORT_DESC","STRZELEC"
"TID_BEE_SNIPER_DESC","Bea uwielbia owady i przytulasy. Jej mechaniczne drony atakują na dużą odległość, a do superataku służy jej gęsty rój rozwścieczonych pszczół."
"TID_BEE_SNIPER_WEAPON","WIELKIE ŻĄDŁO"
"TID_BEE_SNIPER_WEAPON_DESC","Bea wypuszcza daleki strzał, który po dotarciu do celu doładowuje kolejny strzał, nadając mu niewyobrażalną moc!"
"TID_BEE_SNIPER_ULTI","ŻELAZNY UL"
"TID_BEE_SNIPER_ULTI_DESC","Bea rzuca do akcji rój dronów, szybkich i zwrotnych jak odrzutowce. Spowalniają każdego przeciwnika, którego znajdą na drodze."
"TID_SPEC_ABI_BEE_SNIPER_1","Szybki zastrzyk"
"TID_SPEC_ABI_BEE_SNIPER_1_DESC","Natychmiastowe, jednorazowe doładowanie Wielkiego żądła, jeśli doładowany strzał chybi celu."
"TID_SPEC_ABI_BEE_SNIPER_2","Miodowy płaszcz"
"TID_SPEC_ABI_BEE_SNIPER_2_DESC","Bea unika pewnej klęski, zachowując 1 PŻ i tymczasową osłonę. Moc powraca po tym, jak Bea zostanie pokonana."
"TID_SPEEDY","MAKS"
"TID_SPEEDY_SHORT_DESC","WSPARCIE"
"TID_SPEEDY_DESC","Maks jest jak burza! Jej atak to superszybki blaster. Superatak to przyspieszenie, dla niej i dla sojuszników!"
"TID_SPEEDY_WEAPON","SZYBSZY BLASTER"
"TID_SPEEDY_WEAPON_DESC","Blaster Maksa strzela szybką serią pocisków! Jest ich mnóstwo, a Maks potrafi je szybko przeładowywać."
"TID_SPEEDY_ULTI","DO DZIEŁA!"
"TID_SPEEDY_ULTI_DESC","Maks na moment przyspiesza ruchy swoje i sojuszników w pobliżu. Trzeba zagęszczać ruchy!"
"TID_SPEC_ABI_SPEEDY_1","Superdoładowanie"
"TID_SPEC_ABI_SPEEDY_1_DESC","Teraz Maks doładowuje swój superatak w biegu."
"TID_SPEC_ABI_SPEEDY_2","Kanonada w biegu"
"TID_SPEC_ABI_SPEEDY_2_DESC","Maks doładowuje się szybciej w biegu."
"TID_SPEEDY_ULTI_STAT","Do dzieła!"
"TID_HOMER","W PUNKT"
"TID_QUICK_MESSAGE_CHOOSE_BRAWLER","Potrzebujemy Zadymiarza..."
"TID_QUICK_MESSAGE_CHOOSE_MODE","Zagrajmy..."
"TID_QUICK_MESSAGE_CHOOSE_FRIENDLY_LOCATION","Zagrajmy..."
"TID_QUICK_MESSAGE_CHANGE_BRAWLERS","Wymieńmy się Zadymiarzami!"
"TID_QUICK_MESSAGE_GOOD_GAME","Było nieźle!"
"TID_QUICK_MESSAGE_PLAY_AGAIN","Jeszcze raz?"
"TID_QUICK_MESSAGE_WELL_PLAYED","Naprawdę dobrze!"
"TID_QUICK_MESSAGE_WOW","Wow!"
"TID_QUICK_MESSAGE_OK","OK!"
"TID_QUICK_MESSAGE_GOTTA_GO","Muszę spadać. Miłej zabawy!"
"TID_QUICK_MESSAGE_CHANGE_MODE","Pograjmy w innym trybie!"
"TID_QUICK_MESSAGE_BYE","Cześć!"
"TID_QUICK_MESSAGE_CLOSE_MATCH","Mało brakowało!"
"TID_QUICK_MESSAGE_READY","Gotowe?"
"TID_QUICK_MESSAGE_READY_GO","Już możemy? No to jazda!"
"TID_QUICK_MESSAGE_HI","Heja!"
"TID_QUICK_MESSAGE_NEED_BREAK","Muszę odetchnąć!"
"TID_QUICK_MESSAGE_NEED_TO_GO","Już na mnie pora. Dajcie czadu!"
"TID_QUICK_MESSAGE_THANKS","Dzięki!"
"TID_QUICK_MESSAGE_SORRY","Sorki!"
"TID_QUICK_MESSAGE_OOPS","Ups"
"TID_QUICK_MESSAGE_SUGGEST_BRAWLER","Czy możesz grać jako <c<COLOR>><NAME></c>?"
"TID_QUICK_MESSAGE_SUGGEST_STARPOWER","Czy możesz używać: <c<COLOR>><NAME></c>?"
"TID_QUICK_MESSAGE_SUGGEST_MODE","Zagrajmy <c<COLOR>><NAME></c>!"
