"TID","AR"
"TID_HEAD_HEALTH","صحة الرأس"
"TID_CLUSTER_BOMB_DUDE_SHORT_DESC","قذاف"
"TID_CLUSTER_BOMB_DUDE_DESC","تيك كرة معدنية من الحماس والطاقة المتفجرة، فهو يلقي بالألغام، وعند استخدام الزخم، يفصل رأسه عن جسمه ليبحث عن أحد الأهداف وينفجر."
"TID_CLUSTER_BOMB_DUDE_WEAPON","الألغام الصغيرة"
"TID_CLUSTER_BOMB_DUDE_ULTI","الرأس المتفجر"
"TID_CLUSTER_BOMB_DUDE_WEAPON_DESC","يلقي تيك بعنقود من الألغام التي تتشتت قبل سقوطها على الأرض. تنفجر الألغام عند إصابة الهدف أو بعد بضع ثوانٍ."
"TID_CLUSTER_BOMB_DUDE_ULTI_DESC","يفصل تيك رأسه عن جسمه ثم يطلقه، وبعد الهبوط، يقفز الرأس في اتجاه أقرب هدف وينفجر عند إصابته!"
"TID_CLUSTER_BOMB_DUDE","تيك"
"TID_SPEC_ABI_PREY_ON_THE_WEAK","غراب البين"
"TID_SPEC_DAMAGE_SUPER","الصراخ الفتاك"
"TID_SPEC_DAMAGE_SUPER_DESC","يضرب الآن زخم بوكو الأعداء أيضًا، ويلحق بهم <c00cc00><VALUE1></c> من نقاط الضرر."
"TID_SPEC_ABI_SUPER_DESTROY_WALLS","الدوران الساحق"
"TID_SPEC_ABI_SUPER_DESTROY_WALLS_DESC","يدمر الآن زخم كارل السواتر والعراقيل."
"TID_SPEC_ABI_SUPER_SLOW","العلكة اللاصقة"
"TID_SPEC_ABI_SUPER_SLOW_DESC","يبطئ زخم بيبي الأعداء لمدة <c00cc00><VALUE1></c> ث!"
"TID_SPEC_ABI_DAMAGE_BUFF_SUPER","القفازات الشائكة"
"TID_SPEC_ABI_DAMAGE_BUFF_SUPER_DESC","يزيد ضرر لكمة روزا بـ <c00cc00>+<VALUE1></c> أثناء الزخم."
"TID_SPEC_ABI_STUN_TRAP","نصاب الفخاخ"
"TID_SPEC_ABI_STUN_TRAP_DESC","تضعف الآن فخاخ بو الأعداء لمدة <c00cc00><VALUE1></c> ث بدلاً من دفعهم للخلف."
"TID_SPEC_ABI_TURRET_ELECTRICITY","الصاعق"
"TID_SPEC_ABI_TURRET_ELECTRICITY_DESC","يطلق الآن البرج الطائر كرات طاقة تنط من عدو إلى آخر. يعادل نطاق الكرة بعد الارتداد <c00cc00><VALUE1>%</c> من النطاق العادي."
"TID_SPEC_EXTRA_BULLET","الصاروخ رقم أربعة"
"TID_SPEC_EXTRA_BULLET_DESC","يحمل بروك صاروخًا رابعًا في القاذفة، وهو ما يزيد ذخيرته (ويزيل الحافظة الحرارية التي كان يحتفظ بها في الأنبوب رقم 4)."
"TID_SPEC_ABI_SPIKES_LOW_HEALTH","الاندلاع الشوكي"
"TID_SPEC_ABI_SPIKES_LOW_HEALTH_DESC","عندما تقل صحة سبايك عن <c00cc00><VALUE1>%</c>، يبدأ في إطلاق أشواك تلحق كل واحدة منها <c00cc00><VALUE2></c> من نقاط الضرر!"
"TID_SPEC_ABI_RELOAD_ON_HIT","القنص السريع"
"TID_SPEC_ABI_RELOAD_ON_HIT_DESC","عندما تضرب بايبر أحد الأعداء تعيد تعبئة <c00cc00><VALUE1></c> من الذخيرة على الفور."
"TID_SPEC_ABI_GAIN_HEALTH","الإسفنج"
"TID_SPEC_ABI_GAIN_HEALTH_DESC","يحصل فرانك على <c00cc00>+<VALUE1></c> من نقاط الصحة."
"TID_SPEC_ABI_DASH_SHIELD","سريع للغاية"
"TID_SPEC_ABI_DASH_SHIELD_DESC","عندما يندفع مورتيس، يتم خفض كل الضرر الذي يتلقاه بنسبة <c00cc00><VALUE2>%</c> لمدة <c00cc00><VALUE1></c> ث."
"TID_SPEC_ABI_SUPER_DAMAGE","الهدم"
"TID_SPEC_ABI_SUPER_DAMAGE_DESC","تضيف <c00cc00>+<VALUE1></c> من نقاط الضرر إلى زخم مايك."
"TID_SPEC_ABI_SPEED_LOW_HEALTH","انسحاب الروبوتات"
"TID_SPEC_ABI_SPEED_LOW_HEALTH_DESC","عندما تقل صحة ريكو عن <c00cc00><VALUE2>%</c>، ترتفع سرعة ركضه بنسبة <c00cc00><VALUE1></c> في المائة!"
"TID_SPEC_ABI_SUPER_RELOAD","الذخيرة المستمرة"
"TID_SPEC_ABI_SUPER_RELOAD_DESC","عند استخدام الزخم، يضاعف داريل سرعة التعبئة لمدة <c00cc00><VALUE1></c> ث."
"TID_SPEC_ABI_DAMAGE_MAIN_ATTACK","الأذى الإضافي"
"TID_SPEC_ABI_DAMAGE_MAIN_ATTACK_DESC","تضيف <c00cc00>+<VALUE1></c> من نقاط الضرر في الثانية إلى هجوم بارلي."
"TID_SPEC_ABI_SUPER_HEALS","الصديق الوفي"
"TID_SPEC_ABI_SUPER_HEALS_DESC","يؤدي الآن ضرب الزملاء في الفريق باستخدام زخم الجني إلى معافاتهم بقدر <c00cc00><VALUE1></c> من نقاط الصحة."
"TID_SPEC_ABI_BLACK_HOLE_HEALER","ظل التعافي"
"TID_SPEC_ABI_BLACK_HOLE_HEALER_DESC","عندما تستخدم تارا الزخم، تفتح بوابة ذات أبعاد، وتظهر نسختها الشبحية لتعالج تارا وزملاءها في الفريق."
"TID_SPEC_ABI_RECHARGE","إعادة تذخير تيك التلقائية"
"TID_SPEC_ABI_RECHARGE_DESC","يقل وقت إعادة تذخير تيك بنسبة <c00cc00><VALUE1></c> بالمائة."
"TID_SPEC_ABI_CURVEBALL","الضربة المنحنية"
"TID_SPEC_ABI_CURVEBALL_DESC","تتطاير الأشواك من قنبلة الصبار وفق مسار منحن، وهو ما يسهل إصابة الأهداف."
"TID_SPEC_ABI_MEDIKIT","الإسعافات الأولية"
"TID_SPEC_ABI_MEDIKIT_DESC","عندما تقل صحة شيلي عن <c00cc00><VALUE1>%</c>، تسترجع <c00cc00><VALUE2></c> من نقاط الصحة على الفور. تتجدد الإسعافات الأولية بعد <c00cc00><VALUE3></c> ث."
"TID_SPEC_ABI_IMMUNE_TO_CC","الحجر الرملي"
"TID_SPEC_ABI_IMMUNE_TO_CC_DESC","لدى ساندي الآن حصانة ضد الدفع والإبطاء والإضعاف."
"TID_SPEC_ABI_CURE_DEBUFFS","التطهير الموسيقي"
"TID_SPEC_ABI_CURE_DEBUFFS_DESC","تزيل هجمات بوكو تأثيرات التباطؤ والصعق والسم والحرق عن أي زميل في الفريق تضربه."
"TID_SPEC_ABI_SHIELD_HOMERUN","وضعية القتال"
"TID_SPEC_ABI_SHIELD_HOMERUN_DESC","عند امتلاء شريط ضربة التسجيل الخاص ببيبي بشكل كامل، تحصن نفسها ضد جميع أنواع الضرر بنسبة <c00cc00><VALUE1></c> في المائة."
"TID_SPEC_ABI_WHIRLWIND_SHIELD","الدوران الوقائي"
"TID_SPEC_ABI_WHIRLWIND_SHIELD_DESC","أثناء مدة فعالية زخم كارل، يتم خفض الضرر الذي يتلقاه بنسبة <c00cc00><VALUE2></c> في المائة."
"TID_SELFHELP_UNAVAILABLE","المساعدة والدعم غير متاحين الآن. يُرجى المحاولة لاحقًا."
"TID_SPEC_ABI_LONGER_DASH","الثعبان الملتف"
"TID_SPEC_ABI_LONGER_DASH_DESC","يحصل مورتيس على شريط اندفاع! يزيد مدى اندفاعه بنسبة <c00cc00><VALUE1>%</c> عندما يمتلئ الشريط بالكامل. يستغرق ملء الشريط <c00cc00><VALUE3></c> ث عندما تكون اندفاعات مورتيس الثلاثة كلها جاهزة."
"TID_BO_MECHA_SKIN","بو الآلي"
"TID_BO_MECHA_SKIN_SHOP","بو\nالآلي"
"TID_CROW_MECHA_SKIN","كرو الآلي"
"TID_CROW_MECHA_SKIN_SHOP","كرو\nالآلي"
"TID_MIKE_ROBO_SKIN","مايك الروبوت"
"TID_MIKE_ROBO_SKIN_SHOP","مايك\nالروبوت"
"TID_SPIKE_ROBO_SKIN","سبايك الروبوت"
"TID_SPIKE_ROBO_SKIN_SHOP","سبايك\nالروبوت"
"TID_BO_MECHA_GOLD_SKIN","بو الآلي الذهبي"
"TID_BO_MECHA_GOLD_SKIN_SHOP","بو\nالآلي الذهبي"
"TID_CROW_MECHA_GOLD_SKIN","كرو الآلي الذهبي"
"TID_CROW_MECHA_GOLD_SKIN_SHOP","كرو\nالآلي الذهبي"
"TID_BO_MECHA_LIGHT_SKIN","بو الآلي الأبيض"
"TID_BO_MECHA_LIGHT_SKIN_SHOP","بو\nالآلي الأبيض"
"TID_CROW_MECHA_NIGHT_SKIN","كرو الآلي الأسود"
"TID_CROW_MECHA_NIGHT_SKIN_SHOP","كرو\nالآلي الأسود"
"TID_BULL_LINEBACKER_SKIN","بول المدافع"
"TID_BULL_LINEBACKER_SKIN_SHOP","بول\nالمدافع"
"TID_COLT_OUTLAW_SKIN","كولت راعي البقر"
"TID_COLT_OUTLAW_SKIN_SHOP","كولت\nالشقي"
"TID_CARL_HOG_RIDER_SKIN","كارل راكب الخنزير"
"TID_CARL_HOG_RIDER_SKIN_SHOP","كارل\nراكب الخنزير"
"TID_SKIN_INFO_ANIM_SOUND_FX_VOICE","- نموذج بطل مخصص\n- تأثيرات مخصصة\n- رسوم متحركة مخصصة\n- أصوات مخصصة\n- صوت مخصص"
"TID_SHOP_OFFER_STAR_SKIN_LABEL","مظهر نجم"
"TID_WANTED_15","جائزة الشاطئ"
"TID_WANTED_16","ضربة شمس"
"TID_WANTED_17","الرمال الحارقة"
"TID_BANKHEIST_16","مهمة الشاطئ"
"TID_BANKHEIST_17","الجواهر الرملية"
"TID_BANKHEIST_18","وضع حرج"
"TID_BANKHEIST_18B","الميدان 8"
"TID_BALL_22","كرة الشاطئ"
"TID_BALL_23","شمس ومرح"
"TID_BALL_24","عراك الصيف"
"TID_BALL_25","ألعاب الصيف"
"TID_STARPOINTSGAINED","تم تحويل <TOTALDECAY> من الكؤوس إلى <STARPOINTSGAINED> من نقاط النجوم."
"TID_TROPHIES_LOST","إجمالي الكؤوس المفقودة: <AMOUNT>"
"TID_TROPHIES_CONVERTED","تم تحويل الكؤوس المفقودة إلى: <AMOUNT> من نقاط النجوم"
"TID_IAP_SOM_PACK_1","عرض الصيف"
"TID_IAP_SOM_PACK_2","عرض الصيف"
"TID_IAP_SOM_PACK_3","عرض الصيف"
"TID_IAP_SOM_PACK_4","عرض الصيف"
"TID_IAP_AUGUST_PACK_1","عرض الصيف"
"TID_IAP_AUGUST_PACK_2","وادعًا يا عطلة الصيف!"
"TID_IAP_FLASH_PACK_1","إضافة صغيرة"
"TID_IAP_FLASH_PACK_2","قيمة كبيرة"
"TID_IAP_MOON_19_PACK_1","مهرجان القمر"
"TID_IAP_MOON_19_PACK_2","مهرجان القمر"
"TID_SPEC_ABI_RESURRECT","روح جديدة"
"TID_SPEC_ABI_RESURRECT_DESC","عندما ينهزم 8-بت لأول مرة في المواجهة، يُبعث من جديد على الفور."
"TID_SPEC_ABI_GROW_FROM_DAMAGE","التقوية"
"TID_SPEC_ABI_GROW_FROM_DAMAGE_DESC","عندما يجهز زخم إل بريمو، يكتمل شريط النمو أيضًا. عندما يمتلئ هذا الشريط، يزداد الحد الأقصى لصحة إل بريمو بمعدل <c00cc00><VALUE1></c>، وتضيع هذه الزيادة عندما ينهزم."
"TID_SPEC_ABI_ARMOR","السترة المضادة للرصاص"
"TID_SPEC_ABI_ARMOR_DESC","تمتص السترة النقاط الـ <c00cc00><VALUE1></c> الأولى من الضرر. عندما ينهزم كولت، يحصل على سترة جديدة. يشير الشريط الأصفر إلى صحة السترة."
"TID_SPEC_ABI_WALKING_TURRET","رفيق الدرب"
"TID_SPEC_ABI_WALKING_TURRET_DESC","الآن يتبع البرج الطائر جيسي."
"TID_SPEC_SHIELD_ULTI","الدرع"
"TID_SPEC_SHIELD_ULTI_DESC","عندما يمتلئ زخم بروك بالكامل (دون أن يستخدمه)، يحصل على درع يخفض الضرر الذي يتلقاه بنسبة <c00cc00><VALUE1></c> في المائة."
"TID_SPEC_ABI_PET","الطائر المساعد"
"TID_SPEC_ABI_PET_DESC","طائر دينامايك يشاركه في القتال."
"TID_SPEC_ABI_DAMAGE_ULTI","الصفعة الخفية"
"TID_SPEC_ABI_DAMAGE_ULTI_DESC","عندما يمتلئ زخم الجني، يلحق هجومه <c00cc00>+<VALUE1></c> من نقاط الضرر."
"TID_ARCADE","8-بت"
"TID_ARCADE_DESC","يتحرك 8-بت بخطوات ثقيلة كمنصة آركيد متنقلة ويطلق أشعة ناسفة، بينما يعزز زخمه الضرر الذي يلحقه أصدقاؤه."
"TID_ARCADE_SHORT_DESC","فئة قناص"
"TID_ARCADE_WEAPON","الأشعة الناسفة"
"TID_ARCADE_ULTI","معزز الضرر"
"TID_ARCADE_WEAPON_DESC","يطلق وابلاً من الأشعة الناسفة التي تدمر أي خصم تصيبه. نطاق الأشعة متوسط، ولها أثر انتشاري بسيط."
"TID_ARCADE_ULTI_DESC","ينشر برجًا يزيد الضرر الذي يلحقه كل أبطال الزملاء في منطقة تأثيره."
"TID_STAT_DAMAGE_BOOST","تعزيز الضرر"
"TID_HERO_INFO_ABILITY_POWER_PERCENT","<BASEPOW>%"
"TID_STAT_DAMAGE_PER_BEAM","ضرر الشعاع الواحد"
"TID_SPEC_ABI_LARGER_AREA_ULTI","المعزِز المحسن"
"TID_SPEC_ABI_LARGER_AREA_ULTI_DESC","يرتفع مدى معزز الضرر بنسبة <c00cc00><VALUE1>%</c>."
"TID_DAMAGE_BOOSTER_HEALTH","صحة معزز الضرر"
"TID_BEST_VALUE_DISCOUNT","خصم\n<VALUE>%!"
"TID_BEST_VALUE_EXTRA","<VALUE>%\nإضافية"
"TID_BEST_VALUE_BONUS","مكافأة\n<VALUE>%"
"TID_PROMOCODE_PACK","باقة رمز العرض"
"TID_DIAMONDS","الجواهر"
"TID_BATTLE_ROYALE_22A","القمة المهجورة"
"TID_BATTLE_ROYALE_23A","المناطق النائية"
"TID_BATTLE_ROYALE_24A","الأراضي القاحلة"
"TID_GOLDRUSH_24A","الكومي"
"TID_WANTED_17A","الواحة الممتدة"
"TID_BALL_14A","الهدف الخارجي"
"TID_BALL_15A","سرعة البرق"
"TID_SHOP_LABEL_BEST_VALUE","أفضل قيمة"
"TID_SHOP_LABEL_MOST_POPULAR","الأكثر شعبية"
"TID_SHOP_LABEL_POPULAR","ذو شعبية"
"TID_SHOP_LABEL_PERCENT_BONUS","مكافأة إضافية <VALUE>%"
"TID_SHOP_LABEL_PERCENT_EXTRA","<VALUE>% <cFFDB4F>إضافية</c>"
"TID_BATTLE_ROYALE_25A","أرض الصمود"
"TID_BATTLE_ROYALE_26A","قتال حار"
"TID_BATTLE_ROYALE_27A","الهجمة المرتدة"
"TID_BATTLE_ROYALE_28A","ميدان الحسد"
"TID_PIPER_PINK_SKIN","بايبر الوردية"
"TID_PIPER_PINK_SKIN_SHOP","بايبر\nالوردية"
"TID_TARA_BLUE_SKIN","تارا الزرقاء"
"TID_TARA_BLUE_SKIN_SHOP","تارا\nالزرقاء"
"TID_8BIT_CLASSIC_SKIN","8-بت الكلاسيكي"
"TID_8BIT_CLASSIC_SKIN_SHOP","8-بت\nالكلاسيكي"
"TID_LEON_SHARK_SKIN","ليون القرش"
"TID_LEON_SHARK_SKIN_SHOP","ليون\nالقرش"
"TID_BATTLE_ROYALE_29A","جنة المخاطر"
"TID_BATTLE_ROYALE_30A","تقاطع خطير"
"TID_BATTLE_ROYALE_31A","السطح المتساوي"
"TID_BALL_16A","سلالوم سلام"
"TID_BALL_17A","الطريق الوعر"
"TID_BALL_18A","الضربة الساحقة"
"TID_BALL_19A","سباق الكلاب"
"TID_BALL_20A","ركلة الشقلبة"
"TID_IAP_INFO_MORE_INFO_BTN","자세히보기"
"TID_SANDSTORM","ساندي"
"TID_GAME_MODE_14","الإطاحة"
"TID_GAME_MODE_14_DESC","ألحق ضررًا أكبر من اللاعبين الآخرين عند مقاتلة الزعيم. كلما ألحقت ضررًا أكبر، ارتفع ترتيبك في المواجهة.\n\nاجمع مكعبات القوة لزيادة صحتك وضرر الهجوم الذي تلحقه. تظهر مكعبات القوة في الخريطة عشوائيًا خلال المعركة."
"TID_BOSS_RACE_INTRO_TEXT","ألحق أكبر ضرر ممكن بالزعيم!"
"TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL","الكل ضد الكل"
"TID_BOSS_RACE_1","صمود إلى النهاية"
"TID_BOSS_RACE_IN_LEAD","أنت متصدر!"
"TID_BOSS_RACE_DOING_GOOD","واصل الأداء المتميز!"
"TID_BOSS_RACE_DOING_OK","وضعك جيد"
"TID_BOSS_RACE_DOING_BAD","ألحق ضررًا أكبر بالزعيم!"
"TID_SHOP_SCID_SKIN_OFFER_TITLE","اتصل بـ Supercell ID واحصل على <NAME> <c<COLOR>>مجانًا</c>!"
"TID_SHOP_SCID_SKIN_OFFER_DESC","SUPERCELL ID"
"TID_SHOP_SCID_SKIN_OFFER_CLAIM","الاتصال"
"TID_GAME_MODE_15","النجم الأوحد"
"TID_GAME_MODE_15_DESC","اجمع النجوم بهزيمة أعدائك من اللاعبين. تزداد المكافأة على رأسك بنجمة واحدة في كل مرة تهزم فيها عدوًا، وقد تصل إلى 7 نجوم.\n\nيفوز من يملك أعلى عدد من النجوم عند نفاد الوقت."
"TID_SOLO_BOUNTY_IN_LEAD","أنت متصدر!"
"TID_SOLO_BOUNTY_DOING_GOOD","واصل الأداء المتميز!"
"TID_SOLO_BOUNTY_DOING_OK","لا بأس"
"TID_SOLO_BOUNTY_DOING_BAD","تحتاج إلى مزيد من النجوم!"
"TID_SANDSTORM_SHORT_DESC","داعم"
"TID_SANDSTORM_DESC","ساندي بطل يعاني الأرق، ويملك قدرة التحكم في الرمال. بإمكانه رمي الأعداء بحصى حاد، كما بإمكانه استدعاء عاصفة رملية لإخفاء زملائه في الفريق."
"TID_SANDSTORM_WEAPON","قذائف الحصى"
"TID_SANDSTORM_WEAPON_DESC","يرمي ساندي أعداءه بحصى حاد وثاقب. مؤلم!"
"TID_SANDSTORM_ULTI","العاصفة الرملية"
"TID_SANDSTORM_ULTI_DESC","يستدعي ساندي عاصفة رملية تدوم لمدة <time> ث وتخفي أصدقاءه من الأبطال داخلها."
"TID_STAT_SANDSTORM","العاصفة الرملية"
"TID_SPEC_ABI_SANDSTORM_DOT","الرمال الخشنة"
"TID_SPEC_ABI_SANDSTORM_DOT_DESC","تلحق العاصفة الرملية بالأعداء الآن <c00cc00><VALUE1></c> من نقاط الضرر في الثانية."
"TID_SPEC_ABI_SANDSTORM_HOT","رياح التعافي"
"TID_SPEC_ABI_SANDSTORM_HOT_DESC","الآن تعالج العاصفة الرملية ساندي وأصدقاءه أيضًا، فيسترجعون <c00cc00><VALUE1></c> من نقاط الصحة في الثانية."
"TID_SHOP_SKIN_SALE","عرض بيع المظاهر"
"TID_IAP_B2S_19_PACK_1","عودة الدراسة!"
"TID_IAP_B2S_19_PACK_2","عودة الدراسة!"
"TID_IAP_B2S_19_PACK_3","عودة الدراسة!"
"TID_GENE_PIRATE_SKIN","الجني القرصان"
"TID_GENE_PIRATE_SKIN_SHOP","الجني\nالقرصان"
"TID_BARLEY_RED_WIZARD_SKIN","بارلي الساحر الأحمر"
"TID_BARLEY_RED_WIZARD_SKIN_SHOP","بارلي\nالساحر الأحمر"
"TID_SANDY_SLEEPY_SKIN","ساندي الناعس"
"TID_SANDY_SLEEPY_SKIN_SHOP","ساندي\nالناعس"
"TID_BOSS_RACE_2","يوم الزعيم"
"TID_BOSS_RACE_3","الإخوة الأعداء"
"TID_BOSS_RACE_4","حلبة الأقوياء"
"TID_BOSS_RACE_5","أرضية التدريب"
"TID_BOSS_RACE_6","متاهة الضياع"
"TID_BOSS_RACE_7","الأزمة السخيفة"
"TID_SHOP_SKIN_NEW_RELEASE","إصدار جديد!"
"TID_SEASON_END_OFFER","عرض نهاية الموسم"
"TID_IAP_OCTOBER_OFFER","عرض أكتوبر"
"TID_IAP_MONDAY_OFFER","الإثنين، الإثنين..."
"TID_IAP_VERY_SPECIAL_OFFER","عرض خاص جدًا"
"TID_IAP_IKE_ROYALE","برج ROYALE"
"TID_IAP_COIN_SHOWER","سيل النقود"
"TID_MUMMY","إيمز"
"TID_ADDITIONAL_GEM_TOOLTIP_FOR_JAPAN","\n\nالجواهر المدفوعة: <PAID>\nالجوهر المجانية: <FREE>\nالمجموع: <TOTAL>"
"TID_RANK","الترتيب: <val> / 10"
"TID_SOLO_BOUNTY_NO_RANK","اهزم أبطالاً للفوز بنجوم!"
"TID_BOSS_RACE_NO_RANK","ألحق ضررًا بالزعيم!"
"TID_MUMMY_SHORT_DESC","مقاتلة"
"TID_MUMMY_DESC","تهاجم إيمز برش مثبت الشعر لتلحق ضررًا بمرور الوقت، وتبطئ خصومها عند استخدام الزخم."
"TID_MUMMY_WEAPON","رشة جريئة"
"TID_MUMMY_WEAPON_DESC","تهاجم إيمز برش مثبت الشعر الخاص بها، وهو قوي بما يكفي لفلق الحجر."
"TID_MUMMY_ULTI","السحابة السمية"
"TID_MUMMY_ULTI_DESC","تنشر إيمز سحابة سمية حولها، فتبطئ الأبطال الأعداء وتلحق بهم ضررًا."
"TID_STAT_MUMMY","إيمز"
"TID_SPEC_ABI_TICK_DMG_GROW","العاقبة السيئة"
"TID_SPEC_ABI_TICK_DMG_GROW_DESC","تلحق إيمز بأعدائها الموجودين داخل سحابتها السمية ضررًا متزايدًا: <c00cc00><VALUE1></c>% عند كل ضربة."
"TID_SPEC_ABI_HEAL_SUPER_DMG","ازدواجية التأثير"
"TID_SPEC_ABI_HEAL_SUPER_DMG_DESC","تسترجع إيمز <c00cc00><VALUE1></c> من الصحة في الثانية عن كل عدو داخل منطقة تأثير زخمها."
"TID_FRIEND_ADD_YOUR_ID","معرّفك: <ID>"
"TID_FRIEND_ADD_BUTTON","إضافة\nصديق"
"TID_FRIEND_ADD_BUTTON_SHORT","الإضافة"
"TID_FRIEND_ADD_DEFAULT_TEXT","أدخل معرّف اللاعب"
"TID_FRIEND_ADD_CODE_SENT","تم إرسال طلب صداقة"
"TID_FRIEND_ADD_CODE_INVALID","معرّف اللاعب غير صالح"
"TID_IAP_CYBER_WEEK_19_1","عرض الأسبوع الإلكتروني"
"TID_IAP_CYBER_WEEK_19_2","عرض الأسبوع الإلكتروني"
"TID_IAP_CYBER_WEEK_19_3","عرض الأسبوع الإلكتروني"
"TID_IAP_GSTAR2019_FINALS","باقة نهائيات بطولة العالم"
"TID_IAP_BRAWLOWEEN_19_1","احتفال الهالووين في Brawl Stars"
"TID_IAP_BRAWLOWEEN_19_2","خدعة أم...نقود؟"
"TID_IAP_BRAWLOWEEN_19_3","كل المظاهر"
"TID_IAP_ARABIC_19_1","العب بالعربية"
"TID_IAP_ARABIC_19_2","العب بالعربية"
"TID_EVENT_MODIFIER_8","أشعة ليزر الزعيم"
"TID_EVENT_MODIFIER_DESC_8","يطلق الزعيم أشعة ليزر."
"TID_EVENT_MODIFIER_9","سلسلة صواعق الزعيم"
"TID_EVENT_MODIFIER_DESC_9","يطلق الزعيم سلسلة من الصواعق."
"TID_EVENT_MODIFIER_10","صواريخ الزعيم"
"TID_EVENT_MODIFIER_DESC_10","يطلق الزعيم الصواريخ."
"TID_STAT_DAMAGE_PER_HALF_SECOND","الضرر بنصف الثانية"
"TID_FRIENDS_PAGE_BUTTON_INVITE","الدعوة"
"TID_TEAM_ROOM_CODE","رمز الفريق:"
"TID_TEAM_ROOM_CODE_SHORT","الفريق:\n<NUM>"
"TID_FRIENDS_PAGE_SOCIAL_NETWORKS","شبكات التواصل الاجتماعي"
"TID_CLAN_TAB_MEMBERS","الأعضاء <NUM>/<TOTAL>"
"TID_CLAN_TAB_CHAT","الدردشة"
"TID_SHELLY_WITCH_SKIN","شيلي الساحرة"
"TID_SHELLY_WITCH_SKIN_SHOP","شيلي\nالساحرة"
"TID_LEON_WEREWOLF_SKIN","ليون المستذئب"
"TID_LEON_WEREWOLF_SKIN_SHOP","ليون\nالمستذئب"
"TID_PIPER_CALAVERA_SKIN","بايبر المفزعة"
"TID_PIPER_CALAVERA_SKIN_SHOP","بايبر\nالمفزعة"
"TID_FRANK_DJ_SKIN","فرانك الدي جيه"
"TID_FRANK_DJ_SKIN_SHOP","فرانك\nالدي جيه"
"TID_JESSIE_DARK_KNIGHT_SKIN","جيسي فارسة الظل"
"TID_JESSIE_DARK_KNIGHT_SKIN_SHOP","جيسي\nفارسة الظل"
"TID_SKIN_FEATURE_MODEL","- نموذج بطل مخصص"
"TID_SKIN_FEATURE_PET","- نموذج حيوان أليف مخصص"
"TID_SKIN_FEATURE_TURRET","- نموذج برج مخصص"
"TID_SKIN_FEATURE_VFX","- تأثيرات مخصصة"
"TID_SKIN_FEATURE_ANIM","- رسوم متحركة مخصصة"
"TID_SKIN_FEATURE_SFX","- أصوات مخصصة"
"TID_SKIN_FEATURE_VOICE","- صوت مخصص"
"TID_SKIN_FEATURE_TEXTURE","- هيئات مخصصة"
"TID_SKIN_FEATURE_COLOR","- ألوان مخصصة"
"TID_HINT_44","تعتمد المطابقة في 'التكتيكات الهجومية' على النقاط التي تملكها حاليًا في موسم التكتيكات الهجومية."
"TID_OPTIONAL_OR","أو"
"TID_LONESTAR_01","الشلالات المهجورة"
"TID_LONESTAR_02","ضربة الشاطئ"
"TID_LONESTAR_03","الأمان الزائف"
"TID_LONESTAR_04","الشجاعة المسلوبة"
"TID_LONESTAR_05","القرنبيط"
"TID_LONESTAR_06","النجاة بأعجوبة"
"TID_LONESTAR_07","عزف منفرد"
"TID_LONESTAR_08","تقاطع الطرق"
"TID_BOSS_RACE_8","نفط القمة"
"TID_BOSS_RACE_9","هوجة المجانين"
"TID_BOSS_RACE_10","مخلفات معدنية"
"TID_BOSS_RACE_11","موسيقى البانك العصرية"
"TID_BOSS_RACE_12","وضعية القتال"
"TID_BOSS_RACE_13","ممر التماسيح"
"TID_BOSS_RACE_14","وقت الشدة"
"TID_CONTACT_US_WELCOME_TEXT","مرحبًا"
"TID_TEAM_CHAT_POPUP_INVITE","دعوة"
"TID_IAPS_NOT_READY","لم يتم تحميل العروض بعد. الرجاء إعادة المحاولة لاحقًا."
"TID_IAP_NOT_FOUND","المنتج غير موجود"
"TID_TEAM_LOG_TAB","سجل الفرق"
"TID_TEAM_LOG_TITLE","سجل الفرق"
"TID_LEON_SALLY_SKIN","ليون SALLY"
"TID_LEON_SALLY_SKIN_SHOP","ليون\nSALLY"
"TID_CARL_LEONARD_SKIN","كارل LEONARD"
"TID_CARL_LEONARD_SKIN_SHOP","كارل\nLEONARD"
"TID_EL_PRIMO_BROWN_SKIN","إل BROWN"
"TID_EL_PRIMO_BROWN_SKIN_SHOP","إل BROWN"
"TID_PLAYER_CTX_SEND_FRIEND_REQUEST","إرسال طلب صداقة"
"TID_PLAYER_CTX_PROFILE","الملف الشخصي"
"TID_PLAYER_CTX_KICK","الطرد"
"TID_EMOJIS_TITLE","التعبيرات"
"TID_SHOP_OFFER_TITLE_NEW_BRAWLER","بطل جديد"
"TID_SHOP_OFFER_TITLE_NEW_SKIN","مظهر جديد"
"TID_SHOP_OFFER_TITLE_BRAWLIDAYS_GIFT","هدية احتفالات نهاية العام"
"TID_LONESTAR_09","البلديات الأربع"
"TID_EXTRA_COPYRIGHT","\nBROWN & FRIENDS, copyright LINE\n"
"TID_ESTIMATED_MAINENANCE_TIME","الوقت المقدر <TIME>"
"TID_IAP_XMAS_19_0","موسم احتفالات رأس السنة"
"TID_IAP_XMAS_19_1","احتفالات نهاية العام"
"TID_IAP_XMAS_19_2","احتفالات نهاية العام"
"TID_IAP_XMAS_19_3","احتفالات نهاية العام"
"TID_IAP_XMAS_19_4","احتفالات نهاية العام"
"TID_IAP_COINPACK_11_19","نقود، نقود، نقود"
