"TID","HE"
"TID_SPEC_ABI_LONGER_DASH_DESC","מורטיס מרוויח מד זינוק! טווח הזינוק שלו מוגבר ב-<c00cc00><VALUE1>%</c> כשהמד טעון במלואו. כשכל שלושת הזינוקים של מורטיס מוכנום, לוקח למד <c00cc00><VALUE3></c> שניות להיטען."
"TID_BO_MECHA_SKIN","בו מכני"
"TID_BO_MECHA_SKIN_SHOP","בו\nמכני"
"TID_CROW_MECHA_SKIN","קרואו מכני"
"TID_CROW_MECHA_SKIN_SHOP","קרואו\nמכני"
"TID_MIKE_ROBO_SKIN","מייק רובוט"
"TID_MIKE_ROBO_SKIN_SHOP","מייק\nרובוט"
"TID_SPIKE_ROBO_SKIN","ספייק רובוט"
"TID_SPIKE_ROBO_SKIN_SHOP","ספייק\nרובוט"
"TID_BO_MECHA_GOLD_SKIN","בו מכני בזהב"
"TID_BO_MECHA_GOLD_SKIN_SHOP","בו מכני\nבזהב"
"TID_CROW_MECHA_GOLD_SKIN","קרואו מכני בזהב"
"TID_CROW_MECHA_GOLD_SKIN_SHOP","קרואו מכני\nבזהב"
"TID_BO_MECHA_LIGHT_SKIN","בו מכני בהיר"
"TID_BO_MECHA_LIGHT_SKIN_SHOP","בו מכני\nבהיר"
"TID_CROW_MECHA_NIGHT_SKIN","קרואו מכני כהה"
"TID_CROW_MECHA_NIGHT_SKIN_SHOP","קרואו מכני\nכהה"
"TID_BULL_LINEBACKER_SKIN","בול ליינבקר"
"TID_BULL_LINEBACKER_SKIN_SHOP","בול\nליינבקר"
"TID_COLT_OUTLAW_SKIN","קולט פורע חוק"
"TID_COLT_OUTLAW_SKIN_SHOP","קולט פורע\nחוק"
"TID_CARL_HOG_RIDER_SKIN","קארל רוכב החזירים"
"TID_CARL_HOG_RIDER_SKIN_SHOP","קארל רוכב\nהחזירים"
"TID_SKIN_INFO_ANIM_SOUND_FX_VOICE","-מודל בראולר בהתאמה אישית\n-אפקטים בהתאמה אישית\n-הנפשות בהתאמה אישית\n-צלילים בהתאמה אישית\n- קול בהתאמה אישית"
"TID_SHOP_OFFER_STAR_SKIN_LABEL","סקין כוכב"
"TID_WANTED_15","באונטי חוף"
"TID_WANTED_16","שרוף על השמש"
"TID_WANTED_17","חולות אש"
"TID_BANKHEIST_16","סורקי חוף"
"TID_BANKHEIST_17","אבני חן חוליות"
"TID_BANKHEIST_18","תפוח אדמה חם"
"TID_BANKHEIST_18B","הסיפרה 8"
"TID_BALL_22","כדור חוף ים"
"TID_BALL_23","כדורגל שמשי"
"TID_BALL_24","בראול יחף"
"TID_BALL_25","משחק קייצי"
"TID_STARPOINTSGAINED","<TOTALDECAY> גביעים הומרו ל-<STARPOINTSGAINED> נקודות כוכב"
"TID_TROPHIES_LOST","מספר כולל של גביעים שאבדו: <AMOUNT>"
"TID_TROPHIES_CONVERTED","הגביעים שאבדו הומרו ל-<AMOUNT> נקודות כוכב"
"TID_IAP_SOM_PACK_1","הצעה לקיץ"
"TID_IAP_SOM_PACK_2","הצעה לקיץ"
"TID_IAP_SOM_PACK_3","הצעה לקיץ"
"TID_IAP_SOM_PACK_4","הצעה לקיץ"
"TID_IAP_AUGUST_PACK_1","הצעה לקיץ"
"TID_IAP_AUGUST_PACK_2","להתראות, קיץ!"
"TID_IAP_FLASH_PACK_1","קצת יותר"
"TID_IAP_FLASH_PACK_2","ערך גדול"
"TID_IAP_MOON_19_PACK_1","פסטיבל ירח"
"TID_IAP_MOON_19_PACK_2","פסטיבל ירח"
"TID_SPEC_ABI_RESURRECT","חיים נוספים"
"TID_SPEC_ABI_RESURRECT_DESC","כש-8 ביט מובס בפעם הראשונה במשחק, הוא מיד חוזר לחיים."
"TID_SPEC_ABI_GROW_FROM_DAMAGE","לצמוח ולהתחזק"
"TID_SPEC_ABI_GROW_FROM_DAMAGE_DESC","כשאל פרימו טוען את תכונת הסופר שלו, מד הצמיחה נטען גם כן. כשמד הצמיחה מלא, רמת החיים המרבית גדלה ב-<c00cc00><VALUE1></c>. כשאל פרימו מפסיד, מאבדים את הבונוס."
"TID_SPEC_ABI_ARMOR","אפוד מגן"
"TID_SPEC_ABI_ARMOR_DESC","האפוד מגן מפני הנזק הראשון בכמות של <c00cc00><VALUE1></c>. כשקולט מובס הוא מקבל אפוד חדש. חיי האפוד מוצגים במד הצהוב."
"TID_SPEC_ABI_WALKING_TURRET","לטייל עם הכלב"
"TID_SPEC_ABI_WALKING_TURRET_DESC","סקראפי עוקב כעת אחרי ג׳סי."
"TID_SPEC_SHIELD_ULTI","מגן"
"TID_SPEC_SHIELD_ULTI_DESC","כשתכונת הסופר של ברוק טעונה במלואה, והוא לא משתמש בה, הוא מקבל מגן שמפחית <c00cc00><VALUE1>%</c> מכל הנזק שהוא סופג."
"TID_SPEC_ABI_PET","לשחרר את הציפור"
"TID_SPEC_ABI_PET_DESC","הציפור של דינ-מייק מצטרפת לקרב!"
"TID_SPEC_ABI_DAMAGE_ULTI","סטירת רוח"
"TID_SPEC_ABI_DAMAGE_ULTI_DESC","כשתכונת הסופר של ג‘ין טעונה במלואה, הוא מסב <c00cc00>+<VALUE1></c> נזק עם המתקפה שלו."
"TID_ARCADE","8 ביט"
"TID_ARCADE_DESC","8 ביט מסתובב באיטיות כמו מכונת משחקים עם רגליים. הוא יורה קרניים מפציצות ותכונת הסופר שלו מחזקת את הנזק של החברים!"
"TID_ARCADE_SHORT_DESC","צלף"
"TID_ARCADE_WEAPON","קרניים מפציצות"
"TID_ARCADE_ULTI","חיזוק לנזק"
"TID_ARCADE_WEAPON_DESC","יורה מטח של קרניים מפציצות שמסבות נזק לכל יריב שהן פוגעות בו. לקרניים יש טווח בינוני ומעט פיזור."
"TID_ARCADE_ULTI_DESC","שולח צריח שמגביר את הנזק שמסבים כל הבראולרים הידידותיים שבאזור ההשפעה."
"TID_STAT_DAMAGE_BOOST","חיזוק לנזק!"
"TID_HERO_INFO_ABILITY_POWER_PERCENT","<BASEPOW>%"
"TID_STAT_DAMAGE_PER_BEAM","נזק מכל קרן"
"TID_SPEC_ABI_LARGER_AREA_ULTI","חיזוק מחוזק"
"TID_SPEC_ABI_LARGER_AREA_ULTI_DESC","מגדיל את הטווח של החיזוק לנזק ב-<c00cc00><VALUE1></c>%."
"TID_DAMAGE_BOOSTER_HEALTH","חיי חיזוק לנזק"
"TID_BEST_VALUE_DISCOUNT","הנחה של <VALUE>%\n!"
"TID_BEST_VALUE_EXTRA","<VALUE>%\nבנוסף!"
"TID_BEST_VALUE_BONUS","בונוס של <VALUE>%\n"
"TID_PROMOCODE_PACK","חבילת קוד פרומו"
"TID_DIAMONDS","יהלומים"
"TID_BATTLE_ROYALE_22A","פסגה נטושה"
"TID_BATTLE_ROYALE_23A","ערבה מעורבת"
"TID_BATTLE_ROYALE_24A","שטחים שוממים"
"TID_GOLDRUSH_24A","רויאל פלאש"
"TID_WANTED_17A","נווה מדבר פראי"
"TID_BALL_14A","שער שדה"
"TID_BALL_15A","מהר שלא לאחר"
"TID_SHOP_LABEL_BEST_VALUE","הערך הטוב ביותר"
"TID_SHOP_LABEL_MOST_POPULAR","הכי פופולרי"
"TID_SHOP_LABEL_POPULAR","פופולרי"
"TID_SHOP_LABEL_PERCENT_BONUS","%<VALUE> בונוס"
"TID_SHOP_LABEL_PERCENT_EXTRA","<VALUE>% <cFFDB4F>אקסטרה</c>"
"TID_BATTLE_ROYALE_25A","אישרדות"
"TID_BATTLE_ROYALE_26A","הרעלת כספית"
"TID_BATTLE_ROYALE_27A","לקפוץ ולבעוט"
"TID_BATTLE_ROYALE_28A","להסתכל בצלחת"
"TID_PIPER_PINK_SKIN","פייפר ורודה"
"TID_PIPER_PINK_SKIN_SHOP","פייפר\nורודה"
"TID_TARA_BLUE_SKIN","עין שלישית לטארה"
"TID_TARA_BLUE_SKIN_SHOP","עין שלישית\nלטארה"
"TID_8BIT_CLASSIC_SKIN","8 ביט קלאסי"
"TID_8BIT_CLASSIC_SKIN_SHOP","8 ביט\nקלאסי"
"TID_LEON_SHARK_SKIN","לאון כריש"
"TID_LEON_SHARK_SKIN_SHOP","לאון\nכריש"
"TID_BATTLE_ROYALE_29A","סכנה בגן עדן"
"TID_BATTLE_ROYALE_30A","צומת קריטי"
"TID_BATTLE_ROYALE_31A","פיזור אחיד"
"TID_BALL_16A","שמיניות באוויר"
"TID_BALL_17A","מסלול קשוח"
"TID_BALL_18A","מכת המחץ"
"TID_BALL_19A","כדור מעופף"
"TID_BALL_20A","בעיטה וסלטה"
"TID_IAP_INFO_MORE_INFO_BTN","자세히보기"
"TID_SANDSTORM","סנדי"
"TID_GAME_MODE_14","ניצחון מוחץ"
"TID_GAME_MODE_14_DESC","יש לגרום יותר נזק לבוס בהשוואה לשחקנים אחרים. ככל שתגרום יותר נזק, הדירוג שלך במשחק יהיה גבוה יותר.\n\nאיסוף קוביות כוח יגדיל את החיים שלך ואת הנזק בהתקפות. קוביות כוח יופיעו באופן אקראי במפה במהלך הקרב!"
"TID_BOSS_RACE_INTRO_TEXT","נסה להסב לבוס כמה שיותר נזק!"
"TID_EVENT_POPUP_GMV_LABEL_ALL_VS_ALL","כולם נגד כולם"
"TID_BOSS_RACE_1","האחרון שנשאר עומד"
"TID_BOSS_RACE_IN_LEAD","אתה מוביל!"
"TID_BOSS_RACE_DOING_GOOD","המשך ככה!"
"TID_BOSS_RACE_DOING_OK","אתה בסדר"
"TID_BOSS_RACE_DOING_BAD","נסה להסב יותר נזק לבוס!"
"TID_SHOP_SCID_SKIN_OFFER_TITLE","כדאי להתחבר ל-SUPERCELL ID ולקבל <NAME> <c<COLOR>>בחינם</c>!"
"TID_SHOP_SCID_SKIN_OFFER_DESC","Supercell ID"
"TID_SHOP_SCID_SKIN_OFFER_CLAIM","התחברות"
"TID_GAME_MODE_15","כוכב בודד"
"TID_GAME_MODE_15_DESC","יש לצבור כוכבים באמצעות הבסת השחקנים היריבים. בכל פעם שאויב מובס על ידך, הפרס על ראשך עולה בכוכב אחד, עד שבעה כוכבים.\n\nהקבוצה שצברה יותר כוכבים כשהזמן נגמר מנצחת."
"TID_SOLO_BOUNTY_IN_LEAD","אתה מוביל!"
"TID_SOLO_BOUNTY_DOING_GOOD","המשך ככה!"
"TID_SOLO_BOUNTY_DOING_OK","אתה בסדר"
"TID_SOLO_BOUNTY_DOING_BAD","אתה צריך עוד כוכבים!"
"TID_SANDSTORM_SHORT_DESC","תמיכה"
"TID_SANDSTORM_DESC","סנדי הוא בראולר שלא ישן מספיק, והוא יכול לשלוט בחול. הוא זורק חצץ חד על האויבים ומזמן סופת חול שמסתירה את החברים בקבוצה."
"TID_SANDSTORM_WEAPON","מפץ חצץ"
"TID_SANDSTORM_WEAPON_DESC","סנדי משליך על האויבים חצץ חד ודוקר. אאוץ‘!"
"TID_SANDSTORM_ULTI","סופת חול"
"TID_SANDSTORM_ULTI_DESC","סנדי מזמן סופת חול שנמשכת <time> שניות ומסתירה בתוכה בראולרים ידידותיים."
"TID_STAT_SANDSTORM","סופת חול"
"TID_SPEC_ABI_SANDSTORM_DOT","חול חצוף"
"TID_SPEC_ABI_SANDSTORM_DOT_DESC","סופת חול גורמת כעת לאויבים נזק של <c00cc00><VALUE1></c> בכל שנייה."
"TID_SPEC_ABI_SANDSTORM_HOT","רוחות ריפוי"
"TID_SPEC_ABI_SANDSTORM_HOT_DESC","סופת חול גם מרפאת כעת בראולרים ידידותיים ומוסיפה להם <c00cc00><VALUE1></c> חיים בכל שנייה."
"TID_SHOP_SKIN_SALE","מבצע על סקינים"
"TID_IAP_B2S_19_PACK_1","חזרה ללימודים!"
"TID_IAP_B2S_19_PACK_2","חזרה ללימודים!"
"TID_IAP_B2S_19_PACK_3","חזרה ללימודים!"
"TID_GENE_PIRATE_SKIN","ג‘ין הפיראט"
"TID_GENE_PIRATE_SKIN_SHOP","ג‘ין\nהפיראט"
"TID_BARLEY_RED_WIZARD_SKIN","בארלי הקוסם האדום"
"TID_BARLEY_RED_WIZARD_SKIN_SHOP","בארלי\nהקוסם האדום"
"TID_SANDY_SLEEPY_SKIN","סנדי הישנוני"
"TID_SANDY_SLEEPY_SKIN_SHOP","סנדי\nהישנוני"
"TID_BOSS_RACE_2","להפיל את הבוס"
"TID_BOSS_RACE_3","חברים-אויבים"
"TID_BOSS_RACE_4","להתנפח"
"TID_BOSS_RACE_5","מונטאז‘ אימונים"
"TID_BOSS_RACE_6","בלגן במבוך"
"TID_BOSS_RACE_7","תיקו מגוחך"
"TID_SHOP_SKIN_NEW_RELEASE","גרסה חדשה!"
"TID_SEASON_END_OFFER","מבצע לסוף העונה"
"TID_IAP_OCTOBER_OFFER","מבצע לאוקטובר"
"TID_IAP_MONDAY_OFFER","יום שני, יום שני..."
"TID_IAP_VERY_SPECIAL_OFFER","מבצע מאוד מיוחד"
"TID_IAP_IKE_ROYALE","IKE המלכותי"
"TID_IAP_COIN_SHOWER","גשם של מטבעות"
"TID_MUMMY","EMZ"
"TID_ADDITIONAL_GEM_TOOLTIP_FOR_JAPAN","\n\nיהלומים בתשלום: <PAID>\nיהלומים בחינם: <FREE>\nסה\qכ: <TOTAL>"
"TID_RANK","דירוג: <val>/10"
"TID_SOLO_BOUNTY_NO_RANK","צריך להביס בראולרים כדי לקבל כוכבים!"
"TID_BOSS_RACE_NO_RANK","צריך לגרום נזק לבוס!"
"TID_MUMMY_SHORT_DESC","לוחמת"
"TID_MUMMY_DESC","Emz תוקפת עם מטחי ספריי לשיער שמסבים נזק לאורך זמן, והיא מאטה את האויבים בעזרת תכונת הסופר שלה."
"TID_MUMMY_WEAPON","ספריי"
"TID_MUMMY_WEAPON_DESC","EMZ נותנת לך מטח של הספריי לשיער שלה! זה חזק מספיק כדי להמס את הפנים שלך."
"TID_MUMMY_ULTI","כריזמה צורבת"
"TID_MUMMY_ULTI_DESC","EMZ יוצרת ענן של רעילות מסביב לה, מאטה את תנועת האויבים וגורמת להם נזק."
"TID_STAT_MUMMY","Emz"
"TID_SPEC_ABI_TICK_DMG_GROW","קארמה רעה"
"TID_SPEC_ABI_TICK_DMG_GROW_DESC","אויבים שנשארים בטווח של ענן הספריי לשיער הרעיל של Emz סובלים מנזק גובר, <c00cc00><VALUE1></c>% לכל פגיעה."
"TID_SPEC_ABI_HEAL_SUPER_DMG","ריגוש"
"TID_SPEC_ABI_HEAL_SUPER_DMG_DESC","Emz מקבלת בחזרה<c00cc00><VALUE1></c> בריאות לשנייה על כל אויב שנמצא בתוך אזור ההשפעה של תכונת הסופר שלה."
"TID_FRIEND_ADD_YOUR_ID","ה-ID שלך: <ID>"
"TID_FRIEND_ADD_BUTTON","הוספת\nחבר"
"TID_FRIEND_ADD_BUTTON_SHORT","הוספה"
"TID_FRIEND_ADD_DEFAULT_TEXT","הזנת ID של שחקן"
"TID_FRIEND_ADD_CODE_SENT","נשלחה בקשת חברות"
"TID_FRIEND_ADD_CODE_INVALID","ID של השחקן לא תקף!"
"TID_IAP_CYBER_WEEK_19_1","מבצע לשבוע הסייבר"
"TID_IAP_CYBER_WEEK_19_2","מבצע לשבוע הסייבר"
"TID_IAP_CYBER_WEEK_19_3","מבצע לשבוע הסייבר"
"TID_IAP_GSTAR2019_FINALS","חבילת הגמר העולמי"
"TID_IAP_BRAWLOWEEN_19_1","זה ליל כל הבראולרים!"
"TID_IAP_BRAWLOWEEN_19_2","תעלול או... מטבעות?"
"TID_IAP_BRAWLOWEEN_19_3","כל הסקינים!"
"TID_IAP_ARABIC_19_1","שחקו בערבית"
"TID_IAP_ARABIC_19_2","שחקו בערבית"
"TID_EVENT_MODIFIER_8","לייזרים של בוס"
"TID_EVENT_MODIFIER_DESC_8","הבוס יורה לייזרים."
"TID_EVENT_MODIFIER_9","ברקים משוננים של בוס"
"TID_EVENT_MODIFIER_DESC_9","הבוס יורה ברקים משוננים."
"TID_EVENT_MODIFIER_10","טילים של בוס"
"TID_EVENT_MODIFIER_DESC_10","הבוס יורה טילים."
"TID_STAT_DAMAGE_PER_HALF_SECOND","נזק בכל חצי שנייה"
"TID_FRIENDS_PAGE_BUTTON_INVITE","הזמנה"
"TID_TEAM_ROOM_CODE","קוד הקבוצה:"
"TID_TEAM_ROOM_CODE_SHORT","קבוצה:\n<NUM>"
"TID_FRIENDS_PAGE_SOCIAL_NETWORKS","רשתות חברתיות"
"TID_CLAN_TAB_MEMBERS","חברי הקבוצה <NUM>/<TOTAL>"
"TID_CLAN_TAB_CHAT","צ‘אט"
"TID_SHELLY_WITCH_SKIN","שלי המכשפה"
"TID_SHELLY_WITCH_SKIN_SHOP","שלי\nהמכשפה"
"TID_LEON_WEREWOLF_SKIN","לאון איש הזאב"
"TID_LEON_WEREWOLF_SKIN_SHOP","לאון\nאיש הזאב"
"TID_PIPER_CALAVERA_SKIN","פייפר הגולגולת"
"TID_PIPER_CALAVERA_SKIN_SHOP","פייפר\nהגולגולת"
"TID_FRANK_DJ_SKIN","פרנק הדיג‘יי"
"TID_FRANK_DJ_SKIN_SHOP","פרנק\nהדיג‘יי"
"TID_JESSIE_DARK_KNIGHT_SKIN","ג‘סי אבירת הצללים"
"TID_JESSIE_DARK_KNIGHT_SKIN_SHOP","ג‘סי\nאבירת הצללים"
"TID_SKIN_FEATURE_MODEL","- דגם בראולר בהתאמה אישית"
"TID_SKIN_FEATURE_PET","- דגם חיית מחמד בהתאמה אישית"
"TID_SKIN_FEATURE_TURRET","- דגם צריח בהתאמה אישית"
"TID_SKIN_FEATURE_VFX","- אפקטים בהתאמה אישית"
"TID_SKIN_FEATURE_ANIM","- הנפשות בהתאמה אישית"
"TID_SKIN_FEATURE_SFX","- צלילים בהתאמה אישית"
"TID_SKIN_FEATURE_VOICE","- קול בהתאמה אישית"
"TID_SKIN_FEATURE_TEXTURE","- טקסטורה בהתאמה אישית"
"TID_SKIN_FEATURE_COLOR","- צבעים בהתאמה אישית"
"TID_HINT_44","בעת משחק מהלך כוחני, ההתאמה היא על סמך הנקודות שיש לך כרגע בעונת המהלך הכוחני."
"TID_OPTIONAL_OR","או"
"TID_LONESTAR_01","מפלים נטושים"
"TID_LONESTAR_02","יריה בחוף"
"TID_LONESTAR_03","כספת לא כל כך בטוחה"
"TID_LONESTAR_04","גבורה גנובה"
"TID_LONESTAR_05","כרובית"
"TID_LONESTAR_06","הצלה של הרגע האחרון"
"TID_LONESTAR_07","סולו סחרור"
"TID_LONESTAR_08","פרשת דרכים"
"TID_BOSS_RACE_8","שיא תפוקת הנפט"
"TID_BOSS_RACE_9","הפיכה קוקו"
"TID_BOSS_RACE_10","מתכת למיחזור"
"TID_BOSS_RACE_11","פאנק מגניב"
"TID_BOSS_RACE_12","הבה נריב"
"TID_BOSS_RACE_13","סמטת אליגטורים"
"TID_BOSS_RACE_14","עניינים צמודים"
"TID_CONTACT_US_WELCOME_TEXT","שלום"
"TID_TEAM_CHAT_POPUP_INVITE","הזמנה"
"TID_IAPS_NOT_READY","ההצעות עדיין לא נטענו. נא לנסות שוב מאוחר יותר."
"TID_IAP_NOT_FOUND","המוצר לא נמצא"
"TID_TEAM_LOG_TAB","יומן קבוצה"
"TID_TEAM_LOG_TITLE","יומן קבוצה"
"TID_LEON_SALLY_SKIN","לאון SALLY"
"TID_LEON_SALLY_SKIN_SHOP","לאון\nSALLY"
"TID_CARL_LEONARD_SKIN","קארל LEONARD"
"TID_CARL_LEONARD_SKIN_SHOP","קארל\nLEONARD"
"TID_EL_PRIMO_BROWN_SKIN","EL BROWN"
"TID_EL_PRIMO_BROWN_SKIN_SHOP","EL BROWN"
"TID_PLAYER_CTX_SEND_FRIEND_REQUEST","שליחת בקשת חברות"
"TID_PLAYER_CTX_PROFILE","פרופיל"
"TID_PLAYER_CTX_KICK","סילוק"
"TID_EMOJIS_TITLE","אמוג‘ים"
"TID_SHOP_OFFER_TITLE_NEW_BRAWLER","בראולר חדש"
"TID_SHOP_OFFER_TITLE_NEW_SKIN","סקין חדש"
"TID_SHOP_OFFER_TITLE_BRAWLIDAYS_GIFT","מתנה לחגים"
"TID_LONESTAR_09","ארבעת הרבעים"
"TID_EXTRA_COPYRIGHT","\nBROWN & FRIENDS, זכויות יוצרים של LINE\n"
"TID_ESTIMATED_MAINENANCE_TIME","זמן משוער <TIME>"
"TID_IAP_XMAS_19_0","הגיעה העונה"
"TID_IAP_XMAS_19_1","חוגגים עם הבראולרים"
"TID_IAP_XMAS_19_2","חוגגים עם הבראולרים"
"TID_IAP_XMAS_19_3","חוגגים עם הבראולרים"
"TID_IAP_XMAS_19_4","חוגגים עם הבראולרים"
"TID_IAP_COINPACK_11_19","מטבעות, מטבעות, מטבעות"
"TID_IAP_NEWYEAR_20","שנה טובה"
"TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE","סקין BROWN & FRIENDS"
"TID_HOME_PAGE_PENDING_DONATION","הודעה\nחשובה"
"TID_SETTINGS_BLOCK_FRIEND_REQUESTS","חסימת בקשות חברות"
"TID_SPAWNER_DUDE","מר P"
"TID_BEE_SNIPER","דבורה"
"TID_BEE_SNIPER_SHORT_DESC","צלפית"
"TID_BEE_SNIPER_DESC","בי אוהבת חרקים וחיבוקים. היא יורה רחפנים מכניים, ותכונת הסופר שלה משגרת נחיל של דבורים כועסות!"
"TID_BEE_SNIPER_WEAPON","עקיצה רצינית"
"TID_BEE_SNIPER_WEAPON_DESC","בי יורה מטווח ארוך, והפגיעה מוסיפה טעינת סופר לירייה הבאה שלה וגורמת לנזק עצום!"
"TID_BEE_SNIPER_ULTI","כוורת הברזל"
"TID_BEE_SNIPER_ULTI_DESC","בי משגרת נחיל רחפנים מעופף. הם מאטים את היריבים שנקלעים לדרכם."
"TID_SPEC_ABI_BEE_SNIPER_1","טעינה אוטומטית"
"TID_SPEC_ABI_BEE_SNIPER_1_DESC","אם בי מפספסת ירייה עם טעינת סופר, אפשר להוסיף פעם אחת טעינת סופר מיידית לעקיצה הרצינית שלה."
"TID_SPEC_ABI_BEE_SNIPER_2","מצופה בדבש"
"TID_SPEC_ABI_BEE_SNIPER_2_DESC","בי בורחת מתבוסה ודאית ומצליחה לשמור על נקודת חיים אחת ובנוסף להרוויח מגן זמני. הכוח הזה זמין שוב לאחר שהיא מובסת."
"TID_SPEEDY","MAX"
"TID_SPEEDY_SHORT_DESC","תמיכה"
"TID_SPEEDY_DESC","מקס מהירה! המתקפה שלה היא משגר שיורה במהירות. תכונת הסופר מגבירה את המהירות שלה ושל מי שבצוות שלה!"
"TID_SPEEDY_WEAPON","שיגור מהיר"
"TID_SPEEDY_WEAPON_DESC","המשגר של מקס יורה טילים במהירות! יש בו מקום להרבה טילים, ומקס טוענת אותו מחדש בזריזות."
"TID_SPEEDY_ULTI","קדימה!"
"TID_SPEEDY_ULTI_DESC","מקס מגבירה את מהירות התנועה שלה ושל חברי הצוות הקרובים באופן זמני. צריך למהר!"
"TID_SPEC_ABI_SPEEDY_1","טעינת סופר"
"TID_SPEC_ABI_SPEEDY_1_DESC","מקס טוענת כעת את תכונת הסופר שלה תוך כדי תנועה."
"TID_SPEC_ABI_SPEEDY_2","לרוץ ולירות"
"TID_SPEC_ABI_SPEEDY_2_DESC","מקס טוענת מהר יותר תוך כדי תנועה."
"TID_SPEEDY_ULTI_STAT","קדימה!"
"TID_HOMER","הומר"
"TID_QUICK_MESSAGE_CHOOSE_BRAWLER","צריך בראולר..."
"TID_QUICK_MESSAGE_CHOOSE_MODE","הבה נשחק..."
"TID_QUICK_MESSAGE_CHOOSE_FRIENDLY_LOCATION","הבה נשחק..."
"TID_QUICK_MESSAGE_CHANGE_BRAWLERS","הבה נחליף בראולרים!"
"TID_QUICK_MESSAGE_GOOD_GAME","משחק טוב!"
"TID_QUICK_MESSAGE_PLAY_AGAIN","רוצה לשחק שוב?"
"TID_QUICK_MESSAGE_WELL_PLAYED","שיחקת אותה!"
"TID_QUICK_MESSAGE_WOW","וואו!"
"TID_QUICK_MESSAGE_OK","בסדר!"
"TID_QUICK_MESSAGE_GOTTA_GO","אני צריך/ה ללכת. שיהיה בכיף!"
"TID_QUICK_MESSAGE_CHANGE_MODE","הבה נחליף מצב משחק!"
"TID_QUICK_MESSAGE_BYE","ביי!"
"TID_QUICK_MESSAGE_CLOSE_MATCH","זה היה קרוב!"
"TID_QUICK_MESSAGE_READY","מוכנים?"
"TID_QUICK_MESSAGE_READY_GO","מוכנים? הבה נתחיל!"
"TID_QUICK_MESSAGE_HI","היי!"
"TID_QUICK_MESSAGE_NEED_BREAK","אני צריך/ה הפסקה!"
"TID_QUICK_MESSAGE_NEED_TO_GO","אני צריך/ה ללכת. תיהנו!"
"TID_QUICK_MESSAGE_THANKS","תודה!"
"TID_QUICK_MESSAGE_SORRY","סליחה!"
"TID_QUICK_MESSAGE_OOPS","אופס"
"TID_QUICK_MESSAGE_SUGGEST_BRAWLER","רוצה לשחק בתור <c<COLOR>><NAME></c>?"
"TID_QUICK_MESSAGE_SUGGEST_STARPOWER","רוצה להשתמש ב-<c<COLOR>><NAME></c>?"
"TID_QUICK_MESSAGE_SUGGEST_MODE","הבה נשחק <c<COLOR>><NAME></c>!"
"TID_QUICK_MESSAGE_ASK_BRAWLER","איזה בראולר כדאי לי לבחור?"
"TID_QUICK_MESSAGE_ASK_MODE","באיזה אירוע נשחק?"
"TID_PLAYER_CTX_SUGGEST_BRAWLER_SHORT","הצעה"
"TID_PLAYER_CTX_SUGGEST_CANCEL","ביטול הצעה"
"TID_SUGGEST_BRAWLER_TITLE_SHORT","הצעת בראולר"
"TID_SUGGEST_BRAWLER_TITLE","הצעת בראולר ל-<NAME>"
"TID_SUGGEST_EVENT_TITLE","הצעת אירוע"
"TID_SUGGEST_EVENT_BUTTON_SHORT","הצעה"
"TID_SUGGEST_EVENT_BUTTON","הצעת אירוע"
"TID_EVENT_SUGGESTION_EXPIRED","פג התוקף של הצעת האירוע הזו"
"TID_SUGGESTED_BRAWLER_TITLE","הצעת בראולר"
"TID_SUGGESTED_BRAWLER_DESC","רוצה להשתמש ב-<c<COLOR>><NAME></c> בתור הבראולר שלך?"
"TID_SUGGESTED_BRAWLER_YES","להשתמש"
"TID_SUGGESTED_BRAWLER_NO","לא"
"TID_EVENT_SUGGESTION_TITLE","לבחור באירוע הזה?"
"TID_EVENT_SUGGESTION_DESC","רוצה לשחק באירוע הזה?"
"TID_EVENT_SUGGESTION_YES","כן"
"TID_EVENT_SUGGESTION_NO","לא"
"TID_CHAT_LETSPLAY_ITEM","הבה נשחק"
"TID_CHAT_SWAP_BRAWLER_ITEM","הצעת בראולר ל-<NAME>:"
"TID_CHAT_SWAP_BRAWLER_ITEM_YOU","הצעת בראולר עבורך:"
"TID_MAINTENANCE_DEEP_LINKS_NOT_AVAILABLE","לא זמין במהלך תחזוקה"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE","עדכון לגרסה חדשה"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE","אנחנו מעדכנים לגרסה חדשה של המשחק. חזור בקרוב!"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON","בסדר"
"TID_CONTEXT_MENU_PROFILE","פרופיל"
"TID_CONTEXT_MENU_SPECTATE","צפייה"
"TID_CONTEXT_MENU_KICK","סילוק"
"TID_CONTEXT_MENU_SWAP","החלפת צד"
"TID_CONTEXT_MENU_REMOVE","הסרה"
"TID_CONTEXT_MENU_JOIN","הצטרפות לקבוצה"
"TID_CONTEXT_MENU_INVITE","הזמנה לקבוצה"
"TID_CONTEXT_MENU_REPORT","דיווח"
"TID_CONTEXT_MENU_SUGGEST_BRAWLER","הצעת בראולר"
"TID_CONTEXT_MENU_SUGGEST_STAR_POWER","הצעת\nכוח כוכב"
